"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_R_tot","age","gender","attn_chk_1Q","attn_chk_2_Q"
"R_1cTxd4sYuNc7Edh",1,1,1,1,2,"sam","non-diagnostic","ND1",1,1,2,1,1,4,"robin","diagnostic","NA",1.25,3,3,6,2,30,"francis","diagnostic","NA",3.5,1,1,1,1,3,"alex","non-diagnostic","ND2",1,19,1,2,5
"R_2YbUNMcpwA6naYB",2,2,4,3,25,"sam","non-diagnostic","ND1",2.75,1,1,1,4,8,"robin","diagnostic","NA",1.75,4,4,4,3,40,"francis","diagnostic","NA",3.75,1,4,4,2,19,"alex","non-diagnostic","ND2",2.75,52,1,7,2
"R_2CmkyY8ti8ZwpuT",2,3,3,2,30,"sam","non-diagnostic","ND1",2.5,2,2,2,3,20,"robin","non-diagnostic","ND2",2.25,4,4,4,4,50,"francis","diagnostic","NA",4,3,2,4,3,30,"alex","diagnostic","NA",3,22,1,7,5
"R_2SGOSVR6Bhqxwpu",3,2,2,1,20,"sam","non-diagnostic","ND1",2,4,2,1,3,25,"robin","non-diagnostic","ND2",2.5,3,2,4,2,25,"francis","diagnostic","NA",2.75,1,2,1,1,10,"alex","diagnostic","NA",1.25,20,1,7,5
"R_sToIzj9rrUAntdf",4,4,5,4,60,"sam","non-diagnostic","ND1",4.25,4,4,3,3,45,"robin","diagnostic","NA",3.5,4,4,4,4,50,"francis","diagnostic","NA",4,4,4,5,4,50,"alex","non-diagnostic","ND2",4.25,29,1,7,5
"R_2f3Qen9MgN5mWVu",3,3,3,3,38,"sam","non-diagnostic","ND1",3,3,4,4,4,40,"robin","non-diagnostic","ND2",3.75,4,4,4,4,50,"francis","diagnostic","NA",4,3,3,4,3,40,"alex","diagnostic","NA",3.25,18,2,4,2
"R_wWWPyDSOY4xpplL",4,2,3,3,30,"sam","non-diagnostic","ND1",3,3,3,3,3,24,"robin","diagnostic","NA",3,4,3,3,4,35,"francis","diagnostic","NA",3.5,3,3,4,3,24,"alex","non-diagnostic","ND2",3.25,26,2,7,5
"R_RqW9FQtLAJ3Gbex",4,4,3,3,50,"sam","non-diagnostic","ND1",3.5,3,2,2,3,19,"robin","non-diagnostic","ND2",2.5,5,3,5,2,31,"francis","diagnostic","NA",3.75,4,3,5,6,38,"alex","diagnostic","NA",4.5,22,2,7,5
"R_3R7o4bzJBQG5d6l",2,2,3,3,21,"sam","non-diagnostic","ND1",2.5,2,2,1,2,17,"robin","diagnostic","NA",1.75,2,3,3,2,22,"francis","diagnostic","NA",2.5,2,1,2,1,10,"alex","non-diagnostic","ND2",1.5,21,2,7,2
"R_O7FWukit3MgqRpv",2,2,4,3,18,"sam","non-diagnostic","ND1",2.75,1,1,1,1,5,"robin","non-diagnostic","ND2",1,2,2,3,2,8,"francis","diagnostic","NA",2.25,1,1,2,1,5,"alex","diagnostic","NA",1.25,19,2,2,5
"R_1dFzn8BMjgbSWgL",1,2,5,1,4,"sam","non-diagnostic","ND1",2.25,4,3,2,4,20,"robin","non-diagnostic","ND2",3.25,2,1,6,2,6,"francis","diagnostic","NA",2.75,1,1,2,1,0,"alex","diagnostic","NA",1.25,19,1,4,2
"R_2zG9f3nCYpONCeG",2,1,2,2,14,"sam","non-diagnostic","ND1",1.75,1,1,1,1,4,"robin","diagnostic","NA",1,2,2,2,2,9,"francis","diagnostic","NA",2,1,1,1,1,0,"alex","non-diagnostic","ND2",1,19,1,7,2
"R_3QMCaI7sqXBLxoF",3,3,3,3,30,"sam","non-diagnostic","ND1",3,2,2,2,2,20,"robin","diagnostic","NA",2,3,2,3,3,30,"francis","diagnostic","NA",2.75,2,2,3,2,25,"alex","non-diagnostic","ND2",2.25,23,2,7,2
"R_cFJY2XjpJnFgelP",4,3,4,4,50,"sam","non-diagnostic","ND1",3.75,4,4,1,4,50,"robin","diagnostic","NA",3.25,4,3,4,3,35,"francis","diagnostic","NA",3.5,4,2,3,2,30,"alex","non-diagnostic","ND2",2.75,23,1,7,2
"R_RVqNK7voR5Q26mR",2,2,2,2,20,"sam","non-diagnostic","ND1",2,2,2,1,1,17,"robin","non-diagnostic","ND2",1.5,2,2,2,2,20,"francis","diagnostic","NA",2,2,2,2,2,20,"alex","diagnostic","NA",2,47,1,7,2
"R_3QVSktb3xTMujXo",1,1,2,2,15,"sam","non-diagnostic","ND1",1.5,1,1,1,1,0,"robin","diagnostic","NA",1,2,2,3,2,15,"francis","diagnostic","NA",2.25,1,1,1,1,0,"alex","non-diagnostic","ND2",1,21,1,7,5
"R_3JoxymPMz5ZU19f",2,2,3,3,10,"sam","non-diagnostic","ND1",2.5,1,1,1,1,1,"robin","diagnostic","NA",1,3,2,1,2,0,"francis","diagnostic","NA",2,1,2,4,1,5,"alex","non-diagnostic","ND2",2,21,1,7,2
"R_2CCFpKJ0WRPKVnS",1,1,3,3,14,"sam","non-diagnostic","ND1",2,1,1,1,1,0,"robin","non-diagnostic","ND2",1,1,1,2,2,5,"francis","diagnostic","NA",1.5,1,1,4,2,13,"alex","diagnostic","NA",2,23,2,7,2
"R_338xFhsQ9SobesE",1,1,1,1,18,"sam","non-diagnostic","ND1",1,1,1,1,2,17,"robin","non-diagnostic","ND2",1.25,1,1,1,1,19,"francis","diagnostic","NA",1,1,1,1,1,17,"alex","diagnostic","NA",1,25,2,7,5
"R_11i0UReCMCVtra8",1,1,2,2,10,"sam","non-diagnostic","ND1",1.5,1,1,1,2,5,"robin","non-diagnostic","ND2",1.25,1,1,4,2,20,"francis","diagnostic","NA",2,1,1,2,1,10,"alex","diagnostic","NA",1.25,42,1,7,2
"R_1kS5puhMPXekyEp",3,2,2,3,20,"sam","non-diagnostic","ND1",2.5,1,1,1,1,0,"robin","diagnostic","NA",1,1,1,4,3,10,"francis","diagnostic","NA",2.25,2,2,4,1,10,"alex","non-diagnostic","ND2",2.25,19,2,2,2
"R_OvYw5HhCTWSjrbj",2,3,4,2,12,"sam","non-diagnostic","ND1",2.75,2,2,1,1,6,"robin","diagnostic","NA",1.5,1,1,4,2,9,"francis","diagnostic","NA",2,2,2,2,3,4,"alex","non-diagnostic","ND2",2.25,25,2,7,2
"R_x3odebxFPDTwSZ3",4,4,3,4,47,"sam","non-diagnostic","ND1",3.75,3,3,2,3,35,"robin","diagnostic","NA",2.75,4,3,4,4,40,"francis","diagnostic","NA",3.75,3,4,3,3,47,"alex","non-diagnostic","ND2",3.25,49,2,7,5
"R_3nNa2f6PfkUzxaa",3,3,2,4,28,"sam","non-diagnostic","ND1",3,2,3,1,3,32,"robin","non-diagnostic","ND2",2.25,1,2,1,2,7,"francis","diagnostic","NA",1.5,2,3,2,2,12,"alex","diagnostic","NA",2.25,19,2,5,5
"R_2sbh6O1d212PWGq",2,1,1,1,0,"sam","non-diagnostic","ND1",1.25,1,1,1,1,0,"robin","diagnostic","NA",1,2,1,2,2,0,"francis","diagnostic","NA",1.75,1,1,1,1,0,"alex","non-diagnostic","ND2",1,35,2,7,5
"R_3dScrbtmTCEXINu",2,2,4,2,12,"sam","non-diagnostic","ND1",2.5,2,2,2,2,10,"robin","non-diagnostic","ND2",2,2,2,4,2,24,"francis","diagnostic","NA",2.5,2,2,4,2,10,"alex","diagnostic","NA",2.5,22,2,7,2
"R_3oGEN5wC575bcGs",2,2,3,3,9,"sam","non-diagnostic","ND1",2.5,2,2,1,2,9,"robin","diagnostic","NA",1.75,4,4,6,3,29,"francis","diagnostic","NA",4.25,2,2,6,3,20,"alex","non-diagnostic","ND2",3.25,21,2,6,2
"R_Y5pMytLkiNAFFmx",1,2,4,3,6,"sam","non-diagnostic","ND1",2.5,1,1,1,2,11,"robin","non-diagnostic","ND2",1.25,1,1,3,3,9,"francis","diagnostic","NA",2,1,1,3,3,3,"alex","diagnostic","NA",2,21,2,7,5
"R_2ClJl4hdAaeVhhu",3,4,4,4,50,"sam","non-diagnostic","ND1",3.75,2,4,1,4,50,"robin","non-diagnostic","ND2",2.75,4,3,7,4,34,"francis","diagnostic","NA",4.5,3,4,3,3,50,"alex","diagnostic","NA",3.25,51,1,7,5
"R_DCu76RcZVLmA4WR",4,4,4,4,56,"sam","non-diagnostic","ND1",4,3,3,3,3,81,"robin","non-diagnostic","ND2",3,4,4,4,4,58,"francis","diagnostic","NA",4,2,3,2,3,50,"alex","diagnostic","NA",2.5,62,4,7,5
"R_3lGoCwlOpwSlmSh",2,2,2,2,19,"sam","non-diagnostic","ND1",2,1,1,1,1,0,"robin","non-diagnostic","ND2",1,1,1,3,1,0,"francis","diagnostic","NA",1.5,1,1,2,1,0,"alex","diagnostic","NA",1.25,41,2,7,2
"R_3MbtmJOTk8Dcomo",2,2,2,2,6,"sam","non-diagnostic","ND1",2,2,2,1,1,4,"robin","diagnostic","NA",1.5,3,3,4,2,19,"francis","diagnostic","NA",3,2,2,1,1,1,"alex","non-diagnostic","ND2",1.5,21,2,7,2
"R_yORjeJw0I4xgLaV",1,1,1,1,0,"sam","non-diagnostic","ND1",1,1,1,1,1,0,"robin","diagnostic","NA",1,1,1,1,1,0,"francis","diagnostic","NA",1,1,1,1,1,0,"alex","non-diagnostic","ND2",1,31,2,7,5
"R_2XmQK9zsV6muZf8",2,2,1,3,6,"sam","non-diagnostic","ND1",2,2,2,1,1,10,"robin","non-diagnostic","ND2",1.5,3,3,4,2,20,"francis","diagnostic","NA",3,1,1,1,1,0,"alex","diagnostic","NA",1,21,2,7,5
"R_3qI198L6sY5gotX",1,2,2,2,32,"sam","non-diagnostic","ND1",1.75,1,1,1,1,5,"robin","non-diagnostic","ND2",1,1,1,3,3,19,"francis","diagnostic","NA",2,1,1,2,1,0,"alex","diagnostic","NA",1.25,20,2,7,2
"R_T1O3FZSrHLy2vDj",2,2,3,2,24,"sam","non-diagnostic","ND1",2.25,2,2,2,3,25,"robin","diagnostic","NA",2.25,3,2,3,2,30,"francis","diagnostic","NA",2.5,3,2,2,3,23,"alex","non-diagnostic","ND2",2.5,20,2,7,5
"R_2XcIqftrMOQowxe",2,2,4,3,20,"sam","non-diagnostic","ND1",2.75,3,3,5,3,30,"robin","diagnostic","NA",3.5,4,3,6,3,39,"francis","diagnostic","NA",4,1,2,3,1,16,"alex","non-diagnostic","ND2",1.75,21,3,7,5
"R_2z5sBKLixqH1r5H",3,3,4,4,30,"sam","non-diagnostic","ND1",3.5,3,3,3,4,30,"robin","non-diagnostic","ND2",3.25,4,4,4,4,27,"francis","diagnostic","NA",4,2,2,3,3,60,"alex","diagnostic","NA",2.5,22,2,7,2
"R_1ezRlpT9m6dXTYI",3,3,4,3,30,"sam","non-diagnostic","ND1",3.25,4,3,4,5,45,"robin","non-diagnostic","ND2",4,3,4,3,3,37,"francis","diagnostic","NA",3.25,3,2,4,2,15,"alex","diagnostic","NA",2.75,21,2,7,5
"R_2YsOxis9k6FIFqh",2,1,2,3,20,"sam","non-diagnostic","ND1",2,1,2,1,1,16,"robin","non-diagnostic","ND2",1.25,4,2,4,2,35,"francis","diagnostic","NA",3,2,1,4,1,22,"alex","diagnostic","NA",2,19,1,6,5
"R_3Mzp4BXXIG9SnzA",1,1,3,3,3,"sam","non-diagnostic","ND1",2,1,2,1,2,5,"robin","non-diagnostic","ND2",1.5,1,2,2,3,20,"francis","diagnostic","NA",2,1,2,3,2,20,"alex","diagnostic","NA",2,26,2,7,5
"R_1P1oNYT2xYTMcdk",2,1,4,3,36,"sam","non-diagnostic","ND1",2.5,4,5,4,5,53,"robin","diagnostic","NA",4.5,6,6,7,6,79,"francis","diagnostic","NA",6.25,5,5,6,3,57,"alex","non-diagnostic","ND2",4.75,44,1,1,2
"R_2RWanMv91kT5pmk",2,3,3,3,42,"sam","non-diagnostic","ND1",2.75,2,2,1,2,31,"robin","diagnostic","NA",1.75,5,4,5,4,51,"francis","diagnostic","NA",4.5,3,4,4,4,48,"alex","non-diagnostic","ND2",3.75,31,1,7,5
"R_30w46SGso3vKFzu",4,3,5,4,42,"sam","non-diagnostic","ND1",4,4,3,3,4,30,"robin","non-diagnostic","ND2",3.5,6,5,7,5,49,"francis","diagnostic","NA",5.75,5,3,6,4,39,"alex","diagnostic","NA",4.5,20,2,1,2
"R_DkPNwyWfwc5Sbf3",5,4,5,4,60,"sam","non-diagnostic","ND1",4.5,4,3,2,3,40,"robin","non-diagnostic","ND2",3,4,3,5,3,50,"francis","diagnostic","NA",3.75,2,2,3,2,36,"alex","diagnostic","NA",2.25,49,1,7,2
"R_1CBXrv5EDCoNnD2",2,3,3,3,15,"sam","non-diagnostic","ND1",2.75,2,2,1,2,5,"robin","diagnostic","NA",1.75,3,1,4,4,10,"francis","diagnostic","NA",3,2,2,4,2,10,"alex","non-diagnostic","ND2",2.5,36,1,1,2
"R_6LjRcjZyR5FW1Fv",3,2,5,3,30,"sam","non-diagnostic","ND1",3.25,2,2,2,2,20,"robin","non-diagnostic","ND2",2,3,4,5,4,37,"francis","diagnostic","NA",4,2,2,4,1,20,"alex","diagnostic","NA",2.25,20,1,5,2
"R_3Fay72eIUtDM1xv",3,2,4,4,35,"sam","non-diagnostic","ND1",3.25,2,2,2,3,15,"robin","diagnostic","NA",2.25,3,2,4,4,25,"francis","diagnostic","NA",3.25,2,2,4,4,30,"alex","non-diagnostic","ND2",3,32,2,7,2
"R_1rqYMC0yimEDQq7",2,2,4,3,25,"sam","non-diagnostic","ND1",2.75,1,1,1,1,0,"robin","diagnostic","NA",1,1,1,2,1,0,"francis","diagnostic","NA",1.25,1,1,4,3,6,"alex","non-diagnostic","ND2",2.25,20,2,7,2
"R_2ql7RqvIlkJu8NW",3,3,4,3,37,"sam","non-diagnostic","ND1",3.25,3,3,2,3,37,"robin","non-diagnostic","ND2",2.75,3,2,4,3,29,"francis","diagnostic","NA",3,2,2,4,2,27,"alex","diagnostic","NA",2.5,20,2,7,2
"R_39HE0xFncMBAKVX",2,2,5,1,25,"sam","non-diagnostic","ND1",2.5,2,1,1,1,10,"robin","diagnostic","NA",1.25,2,2,6,3,25,"francis","diagnostic","NA",3.25,1,1,5,3,20,"alex","non-diagnostic","ND2",2.5,19,2,7,2
"R_rfCgVI37c8c7NM5",1,3,2,4,25,"sam","non-diagnostic","ND1",2.5,2,3,3,3,15,"robin","non-diagnostic","ND2",2.75,2,3,4,2,15,"francis","diagnostic","NA",2.75,1,2,3,4,15,"alex","diagnostic","NA",2.5,19,2,7,2
"R_23TSCAiYrJi35S4",3,3,5,4,50,"sam","non-diagnostic","ND1",3.75,4,4,4,4,50,"robin","diagnostic","NA",4,4,4,4,4,50,"francis","diagnostic","NA",4,3,2,4,4,34,"alex","non-diagnostic","ND2",3.25,26,5,7,5
"R_2QmpDIndBfxz3rU",2,2,4,3,22,"sam","non-diagnostic","ND1",2.75,2,3,1,2,19,"robin","non-diagnostic","ND2",2,3,4,3,3,24,"francis","diagnostic","NA",3.25,2,2,2,2,19,"alex","diagnostic","NA",2,30,2,3,2
"R_yHIWbABf1YRVXEd",2,2,5,1,23,"sam","non-diagnostic","ND1",2.5,2,2,2,2,7,"robin","diagnostic","NA",2,4,4,6,5,39,"francis","diagnostic","NA",4.75,2,2,4,2,11,"alex","non-diagnostic","ND2",2.5,18,1,7,5
"R_2agUXbHTAOGH0yc",2,4,5,3,40,"sam","non-diagnostic","ND1",3.5,1,2,1,2,8,"robin","non-diagnostic","ND2",1.5,3,2,4,2,25,"francis","diagnostic","NA",2.75,2,2,4,2,21,"alex","diagnostic","NA",2.5,22,2,7,5
"R_1gOoIIx2Y5fLUIK",2,2,2,1,23,"sam","non-diagnostic","ND1",1.75,2,2,2,2,20,"robin","non-diagnostic","ND2",2,3,3,3,3,30,"francis","diagnostic","NA",3,2,1,2,3,20,"alex","diagnostic","NA",2,19,1,7,5
"R_VWmYsOViIQcGWDD",3,4,5,2,34,"sam","non-diagnostic","ND1",3.5,2,1,2,2,14,"robin","diagnostic","NA",1.75,3,2,4,3,29,"francis","diagnostic","NA",3,1,2,4,2,20,"alex","non-diagnostic","ND2",2.25,21,2,7,2
"R_1ODcUuhqdmvEHMi",2,2,2,2,20,"sam","non-diagnostic","ND1",2,2,2,2,2,15,"robin","diagnostic","NA",2,2,2,3,2,20,"francis","diagnostic","NA",2.25,2,2,3,2,20,"alex","non-diagnostic","ND2",2.25,21,1,7,2
"R_eqR8DtLq1E9e449",3,3,5,4,30,"sam","non-diagnostic","ND1",3.75,2,1,3,1,10,"robin","non-diagnostic","ND2",1.75,1,1,3,3,20,"francis","diagnostic","NA",2,1,1,3,3,0,"alex","diagnostic","NA",2,19,2,5,2
"R_yrsv9rBxRXiLI2Z",4,2,3,2,18,"sam","non-diagnostic","ND1",2.75,4,3,2,2,30,"robin","non-diagnostic","ND2",2.75,4,2,4,3,31,"francis","diagnostic","NA",3.25,4,2,3,3,18,"alex","diagnostic","NA",3,55,2,7,5
"R_29iEg34ZYU3ljrI",1,2,3,3,14,"sam","non-diagnostic","ND1",2.25,2,1,1,2,6,"robin","non-diagnostic","ND2",1.5,1,1,1,1,8,"francis","diagnostic","NA",1,1,1,1,1,8,"alex","diagnostic","NA",1,21,1,2,2
"R_UxzAy0TQAg8Cx6F",3,3,4,3,38,"sam","non-diagnostic","ND1",3.25,3,3,3,3,36,"robin","diagnostic","NA",3,4,4,4,4,50,"francis","diagnostic","NA",4,3,3,4,3,45,"alex","non-diagnostic","ND2",3.25,24,1,7,2
"R_pyHKqVnpyn8Bqvf",4,4,3,3,50,"sam","non-diagnostic","ND1",3.5,3,3,2,2,31,"robin","non-diagnostic","ND2",2.5,3,2,3,3,23,"francis","diagnostic","NA",2.75,4,2,3,2,25,"alex","diagnostic","NA",2.75,18,2,7,2
"R_1EiFXciDcgOO3a6",4,4,4,3,40,"sam","non-diagnostic","ND1",3.75,4,3,3,4,35,"robin","non-diagnostic","ND2",3.5,4,4,4,4,47,"francis","diagnostic","NA",4,4,3,4,4,35,"alex","diagnostic","NA",3.75,18,1,7,5
"R_1GPUWcdZkesWZZA",2,2,2,2,13,"sam","non-diagnostic","ND1",2,3,2,2,2,14,"robin","diagnostic","NA",2.25,3,3,3,3,19,"francis","diagnostic","NA",3,2,2,2,2,14,"alex","non-diagnostic","ND2",2,26,2,7,5
"R_xFMjeQWrqQknCEx",3,3,4,3,24,"sam","non-diagnostic","ND1",3.25,1,1,1,1,12,"robin","non-diagnostic","ND2",1,2,2,4,3,22,"francis","diagnostic","NA",2.75,1,1,3,2,13,"alex","diagnostic","NA",1.75,19,2,7,2
"R_1JURvT1LYjpgSyo",2,2,3,2,24,"sam","non-diagnostic","ND1",2.25,2,1,1,3,11,"robin","non-diagnostic","ND2",1.75,3,2,4,4,29,"francis","diagnostic","NA",3.25,2,2,3,3,20,"alex","diagnostic","NA",2.5,19,2,7,2
"R_2xxYEAosezOlmVP",2,2,4,4,20,"sam","non-diagnostic","ND1",3,3,3,2,3,25,"robin","diagnostic","NA",2.75,4,4,4,4,50,"francis","diagnostic","NA",4,3,3,4,3,30,"alex","non-diagnostic","ND2",3.25,28,1,7,2
"R_1KegNBsclUc9wWV",2,3,1,3,20,"sam","non-diagnostic","ND1",2.25,3,3,4,3,27,"robin","diagnostic","NA",3.25,3,1,6,4,20,"francis","diagnostic","NA",3.5,3,3,4,4,31,"alex","non-diagnostic","ND2",3.5,37,1,7,5
"R_3lGOU0oRlY5UL6y",2,2,3,2,20,"sam","non-diagnostic","ND1",2.25,1,1,1,2,0,"robin","non-diagnostic","ND2",1.25,4,4,3,2,35,"francis","diagnostic","NA",3.25,1,1,1,1,0,"alex","diagnostic","NA",1,37,5,1,5
"R_1M6BBeY56G5xvKU",3,3,4,3,50,"sam","non-diagnostic","ND1",3.25,2,1,2,2,9,"robin","diagnostic","NA",1.75,5,5,7,6,76,"francis","diagnostic","NA",5.75,2,2,4,3,9,"alex","non-diagnostic","ND2",2.75,48,1,7,2
"R_2uy2yln0Fi8S0kE",4,4,4,5,50,"sam","non-diagnostic","ND1",4.25,5,5,5,5,65,"robin","non-diagnostic","ND2",5,4,5,5,4,63,"francis","diagnostic","NA",4.5,2,3,3,4,49,"alex","diagnostic","NA",3,50,2,7,5
"R_1Cf1qaAgwCtZfm7",3,3,3,3,7,"sam","non-diagnostic","ND1",3,2,2,1,2,6,"robin","non-diagnostic","ND2",1.75,2,2,4,3,11,"francis","diagnostic","NA",2.75,1,1,3,2,0,"alex","diagnostic","NA",1.75,21,1,2,2
"R_d7r2CHQcggbi9tD",2,3,3,3,11,"sam","non-diagnostic","ND1",2.75,2,2,2,2,4,"robin","diagnostic","NA",2,1,1,3,2,18,"francis","diagnostic","NA",1.75,3,2,4,4,17,"alex","non-diagnostic","ND2",3.25,18,2,2,2
"R_2uKesz2Rj28TTYw",3,2,3,2,28,"sam","non-diagnostic","ND1",2.5,3,2,2,3,29,"robin","non-diagnostic","ND2",2.5,3,4,5,4,55,"francis","diagnostic","NA",4,2,1,4,1,24,"alex","diagnostic","NA",2,21,2,2,5
"R_3JlYjKnLetQcN9G",4,4,5,4,51,"sam","non-diagnostic","ND1",4.25,2,2,2,2,25,"robin","diagnostic","NA",2,3,3,4,2,40,"francis","diagnostic","NA",3,3,3,4,3,40,"alex","non-diagnostic","ND2",3.25,21,2,2,2
"R_V45qKULLVodnKg1",2,2,4,4,19,"sam","non-diagnostic","ND1",3,2,2,3,3,5,"robin","non-diagnostic","ND2",2.5,3,2,4,2,25,"francis","diagnostic","NA",2.75,2,2,3,2,6,"alex","diagnostic","NA",2.25,19,1,7,2
"R_1Kp6xGkRAuQtDnL",2,2,2,2,25,"sam","non-diagnostic","ND1",2,1,1,1,1,13,"robin","diagnostic","NA",1,3,4,3,3,30,"francis","diagnostic","NA",3.25,2,2,4,1,16,"alex","non-diagnostic","ND2",2.25,20,2,7,5
"R_a4BOpgnmZQcEoo1",1,1,4,4,22,"sam","non-diagnostic","ND1",2.5,1,1,1,3,25,"robin","non-diagnostic","ND2",1.5,1,1,1,1,0,"francis","diagnostic","NA",1,2,3,6,3,26,"alex","diagnostic","NA",3.5,21,2,7,2
"R_2YM3JLYJze6m2Op",1,1,1,1,2,"sam","non-diagnostic","ND1",1,4,2,3,3,22,"robin","diagnostic","NA",3,1,1,1,2,30,"francis","diagnostic","NA",1.25,3,3,3,3,40,"alex","non-diagnostic","ND2",3,22,2,1,2
"R_33lgEQistJT0IJW",2,4,4,3,23,"sam","non-diagnostic","ND1",3.25,2,2,1,2,14,"robin","non-diagnostic","ND2",1.75,3,4,4,1,18,"francis","diagnostic","NA",3,2,3,3,1,18,"alex","diagnostic","NA",2.25,22,2,7,5
"R_2BxnaeIB982Zixe",1,1,3,1,0,"sam","non-diagnostic","ND1",1.5,1,1,1,1,0,"robin","non-diagnostic","ND2",1,1,1,1,1,0,"francis","diagnostic","NA",1,1,1,3,1,0,"alex","diagnostic","NA",1.5,27,2,7,2
"R_eycES3jb9gp9JrH",4,3,4,3,45,"sam","non-diagnostic","ND1",3.5,4,3,4,4,50,"robin","non-diagnostic","ND2",3.75,4,3,4,3,50,"francis","diagnostic","NA",3.5,4,3,3,2,30,"alex","diagnostic","NA",3,26,1,7,2
"R_2xW6By8FeC1S5Wo",1,1,2,2,22,"sam","non-diagnostic","ND1",1.5,1,2,1,1,10,"robin","diagnostic","NA",1.25,1,1,3,3,25,"francis","diagnostic","NA",2,1,1,3,2,22,"alex","non-diagnostic","ND2",1.75,20,1,7,2
"R_ZgXo3UqnUgtKlGh",3,4,3,4,51,"sam","non-diagnostic","ND1",3.5,1,2,1,1,30,"robin","diagnostic","NA",1.25,2,3,4,3,30,"francis","diagnostic","NA",3,1,2,3,2,28,"alex","non-diagnostic","ND2",2,19,2,7,5
"R_2dMxcAuhk5rCiN8",4,5,3,3,33,"sam","non-diagnostic","ND1",3.75,3,3,2,2,22,"robin","non-diagnostic","ND2",2.5,2,2,4,2,21,"francis","diagnostic","NA",2.5,3,2,4,2,21,"alex","diagnostic","NA",2.75,34,1,7,2
"R_02Q19AoTYoWtq7v",3,2,4,3,50,"sam","non-diagnostic","ND1",3,2,3,1,2,13,"robin","diagnostic","NA",2,3,2,5,3,66,"francis","diagnostic","NA",3.25,3,1,3,2,70,"alex","non-diagnostic","ND2",2.25,19,2,5,2
"R_2sdUTUFj7ViNk5e",4,3,4,3,32,"sam","non-diagnostic","ND1",3.5,2,2,1,3,25,"robin","diagnostic","NA",2,3,2,3,3,28,"francis","diagnostic","NA",2.75,2,2,4,2,30,"alex","non-diagnostic","ND2",2.5,19,2,7,5
"R_2pPsE9C26XjRVfC",2,2,3,3,32,"sam","non-diagnostic","ND1",2.5,4,4,2,3,50,"robin","diagnostic","NA",3.25,3,3,4,4,44,"francis","diagnostic","NA",3.5,3,3,4,3,41,"alex","non-diagnostic","ND2",3.25,20,2,2,5
"R_3fdc65bTafMR7jd",2,2,6,3,21,"sam","non-diagnostic","ND1",3.25,1,1,1,1,4,"robin","diagnostic","NA",1,3,2,5,4,14,"francis","diagnostic","NA",3.5,2,2,4,2,16,"alex","non-diagnostic","ND2",2.5,21,2,5,5
"R_3pm1H1IIaPvzQYk",1,1,3,1,20,"sam","non-diagnostic","ND1",1.5,1,1,2,2,20,"robin","diagnostic","NA",1.5,1,1,3,3,30,"francis","diagnostic","NA",2,1,2,2,2,18,"alex","non-diagnostic","ND2",1.75,22,1,7,2
"R_1MNdpw639cE8Tg7",3,3,4,1,25,"sam","non-diagnostic","ND1",2.75,4,4,1,3,35,"robin","non-diagnostic","ND2",3,4,2,5,4,30,"francis","diagnostic","NA",3.75,2,3,2,1,20,"alex","diagnostic","NA",2,22,2,7,5
"R_22VaPsv0YIlW6O7",2,2,2,2,16,"sam","non-diagnostic","ND1",2,2,2,2,2,15,"robin","non-diagnostic","ND2",2,2,2,2,2,16,"francis","diagnostic","NA",2,2,2,2,2,15,"alex","diagnostic","NA",2,32,2,2,5
"R_W1yy1EJIzaX0G6B",2,2,4,3,31,"sam","non-diagnostic","ND1",2.75,2,2,1,2,17,"robin","diagnostic","NA",1.75,2,3,4,3,41,"francis","diagnostic","NA",3,2,3,3,3,36,"alex","non-diagnostic","ND2",2.75,49,2,2,5
"R_3Gkq8eTViuXbVgp",2,3,3,3,25,"sam","non-diagnostic","ND1",2.75,3,2,1,2,20,"robin","non-diagnostic","ND2",2,2,1,2,2,35,"francis","diagnostic","NA",1.75,2,2,2,2,25,"alex","diagnostic","NA",2,22,2,1,5
"R_zSfGJuEFYiB4ROh",1,1,3,2,10,"sam","non-diagnostic","ND1",1.75,1,1,1,1,0,"robin","diagnostic","NA",1,1,1,4,2,10,"francis","diagnostic","NA",2,1,1,2,1,15,"alex","non-diagnostic","ND2",1.25,24,2,1,5
"R_1JUEl9Pbl27ALrB",1,3,2,3,21,"sam","non-diagnostic","ND1",2.25,1,2,1,2,10,"robin","non-diagnostic","ND2",1.5,3,4,4,4,38,"francis","diagnostic","NA",3.75,1,1,1,2,0,"alex","diagnostic","NA",1.25,19,1,7,2
"R_1FT8ZAeuNiyWIXD",2,3,3,3,38,"sam","non-diagnostic","ND1",2.75,1,1,1,2,5,"robin","non-diagnostic","ND2",1.25,4,3,4,4,46,"francis","diagnostic","NA",3.75,2,1,2,1,17,"alex","diagnostic","NA",1.5,19,1,7,2
