"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_R_tot","age","gender","Sample","attn_chk_1Q","attn_chk_2_Q"
"R_12bACykZb5TtHkR",7,6,7,7,69,"sam","non-diagnostic","ND1",6.75,7,6,7,6,79,"robin","non-diagnostic","ND2",6.5,7,7,6,6,69,"francis","diagnostic","NA",6.5,6,7,7,6,72,"alex","diagnostic","NA",6.5,37,1,"MTurk",2,5
"R_1JXABqjfgElNAz2",7,7,7,7,90,"sam","non-diagnostic","ND1",7,7,7,7,7,90,"robin","non-diagnostic","ND2",7,7,7,7,7,95,"francis","diagnostic","NA",7,7,7,7,7,90,"alex","diagnostic","NA",7,69,2,"MTurk",7,2
"R_eWdfeGE43tgywsF",6,6,6,6,75,"sam","non-diagnostic","ND1",6,6,6,6,6,68,"robin","non-diagnostic","ND2",6,6,6,6,6,77,"francis","diagnostic","NA",6,6,6,6,6,69,"alex","diagnostic","NA",6,25,1,"MTurk",7,3
"R_1BnhuE1C554GUxj",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","diagnostic","NA",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","non-diagnostic","ND2",7,34,2,"MTurk",7,2
"R_1Qm7o8XysvRFtFk",6,7,6,4,70,"sam","non-diagnostic","ND1",5.75,6,7,4,5,55,"robin","diagnostic","NA",5.5,5,6,7,6,69,"francis","diagnostic","NA",6,7,6,4,5,45,"alex","non-diagnostic","ND2",5.5,42,1,"MTurk",7,2
"R_3NPvCmumRNtz5yj",7,6,6,6,84,"sam","non-diagnostic","ND1",6.25,7,6,6,7,81,"robin","non-diagnostic","ND2",6.5,6,6,6,5,85,"francis","diagnostic","NA",5.75,7,6,7,7,82,"alex","diagnostic","NA",6.75,25,1,"MTurk",7,5
"R_3qVZWX7s2EXrAoN",3,4,5,5,81,"sam","non-diagnostic","ND1",4.25,2,3,4,4,61,"robin","non-diagnostic","ND2",3.25,4,5,6,4,78,"francis","diagnostic","NA",4.75,3,4,5,5,78,"alex","diagnostic","NA",4.25,25,1,"MTurk",7,1
"R_2vdeXAmQGOExewE",6,6,6,6,81,"sam","non-diagnostic","ND1",6,6,6,6,6,86,"robin","non-diagnostic","ND2",6,6,7,6,6,86,"francis","diagnostic","NA",6.25,7,6,6,6,79,"alex","diagnostic","NA",6.25,34,1,"MTurk",7,2
"R_p3k0go1BkKsGapr",7,7,5,7,90,"sam","non-diagnostic","ND1",6.5,7,7,5,7,100,"robin","diagnostic","NA",6.5,5,6,4,5,80,"francis","diagnostic","NA",5,7,7,5,7,95,"alex","non-diagnostic","ND2",6.5,39,2,"MTurk",7,2
"R_1eIvex9wl9NfgDs",6,6,7,7,91,"sam","non-diagnostic","ND1",6.5,5,6,6,6,91,"robin","diagnostic","NA",5.75,7,7,6,7,97,"francis","diagnostic","NA",6.75,7,7,7,7,100,"alex","non-diagnostic","ND2",7,37,1,"MTurk",7,2
"R_2CxhtYDZoKC9fN7",6,5,4,6,71,"sam","non-diagnostic","ND1",5.25,5,4,5,4,67,"robin","diagnostic","NA",4.5,6,5,5,6,71,"francis","diagnostic","NA",5.5,6,4,5,6,64,"alex","non-diagnostic","ND2",5.25,35,2,"MTurk",7,3
"R_3qDx8nCZVdIZKSc",6,6,6,6,97,"sam","non-diagnostic","ND1",6,7,7,7,7,100,"robin","diagnostic","NA",7,6,7,7,6,100,"francis","diagnostic","NA",6.5,6,6,6,7,98,"alex","non-diagnostic","ND2",6.25,33,2,"MTurk",7,2
"R_22LHNo1SOd07W7P",7,6,6,6,86,"sam","non-diagnostic","ND1",6.25,6,5,5,5,82,"robin","diagnostic","NA",5.25,7,7,7,7,98,"francis","diagnostic","NA",7,6,7,6,6,78,"alex","non-diagnostic","ND2",6.25,35,2,"MTurk",7,2
"R_20PbA8G68fK2Ntu",6,5,6,6,73,"sam","non-diagnostic","ND1",5.75,5,6,5,6,66,"robin","non-diagnostic","ND2",5.5,5,6,5,6,81,"francis","diagnostic","NA",5.5,5,4,5,6,82,"alex","diagnostic","NA",5,42,2,"MTurk",2,5
"R_2zYhh0TsM2m9obw",7,6,6,6,85,"sam","non-diagnostic","ND1",6.25,6,6,6,6,77,"robin","diagnostic","NA",6,6,6,6,6,81,"francis","diagnostic","NA",6,7,6,7,6,83,"alex","non-diagnostic","ND2",6.5,59,1,"MTurk",7,5
"R_323lRCcz4xOmZ1x",6,5,6,5,68,"sam","non-diagnostic","ND1",5.5,6,5,6,6,67,"robin","diagnostic","NA",5.75,6,7,6,7,77,"francis","diagnostic","NA",6.5,6,7,6,7,81,"alex","non-diagnostic","ND2",6.5,32,2,"MTurk",2,5
"R_2qedYmMQgwxZ5Wc",6,5,6,6,75,"sam","non-diagnostic","ND1",5.75,7,5,7,7,63,"robin","diagnostic","NA",6.5,7,6,6,6,89,"francis","diagnostic","NA",6.25,5,6,5,5,72,"alex","non-diagnostic","ND2",5.25,40,2,"MTurk",7,2
"R_3dX64ZcNOqx28oo",6,5,6,7,63,"sam","non-diagnostic","ND1",6,5,6,6,7,69,"robin","diagnostic","NA",6,5,7,7,6,85,"francis","diagnostic","NA",6.25,4,3,5,4,31,"alex","non-diagnostic","ND2",4,35,1,"MTurk",7,2
"R_3MtYYlmLcVBQvWM",6,6,6,6,89,"sam","non-diagnostic","ND1",6,6,6,6,6,83,"robin","non-diagnostic","ND2",6,6,6,6,6,80,"francis","diagnostic","NA",6,6,6,6,6,83,"alex","diagnostic","NA",6,52,2,"MTurk",7,2
"R_1kYyyH01WHhGrWG",6,6,6,6,67,"sam","non-diagnostic","ND1",6,6,6,6,6,66,"robin","non-diagnostic","ND2",6,5,5,5,5,61,"francis","diagnostic","NA",5,6,6,6,7,80,"alex","diagnostic","NA",6.25,33,1,"MTurk",7,2
"R_32JYgSBhl83OzpN",5,6,7,6,90,"sam","non-diagnostic","ND1",6,5,6,5,6,81,"robin","non-diagnostic","ND2",5.5,5,6,7,6,88,"francis","diagnostic","NA",6,5,6,7,6,77,"alex","diagnostic","NA",6,21,2,"MTurk",7,2
"R_6Lv1nSmH6sFmqvT",4,5,5,4,52,"sam","non-diagnostic","ND1",4.5,4,5,4,5,56,"robin","diagnostic","NA",4.5,4,5,5,5,56,"francis","diagnostic","NA",4.75,4,5,4,5,53,"alex","non-diagnostic","ND2",4.5,23,1,"MTurk",1,2
"R_ZEmp2xzywof45LX",5,6,7,6,60,"sam","non-diagnostic","ND1",6,5,6,7,6,57,"robin","non-diagnostic","ND2",6,5,6,7,6,63,"francis","diagnostic","NA",6,5,6,7,6,61,"alex","diagnostic","NA",6,42,2,"MTurk",7,2
"R_215ij85lC1DWNlz",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","non-diagnostic","ND2",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","diagnostic","NA",7,64,2,"MTurk",7,2
"R_06VfMv8TpIiEnx7",6,6,7,6,96,"sam","non-diagnostic","ND1",6.25,6,7,6,7,84,"robin","diagnostic","NA",6.5,5,6,6,7,94,"francis","diagnostic","NA",6,7,7,6,7,95,"alex","non-diagnostic","ND2",6.75,47,2,"MTurk",2,2
"R_3gN1XjFkNagig6w",5,6,7,6,75,"sam","non-diagnostic","ND1",6,7,6,6,7,86,"robin","diagnostic","NA",6.5,6,5,6,6,76,"francis","diagnostic","NA",5.75,5,6,7,7,82,"alex","non-diagnostic","ND2",6.25,36,1,"MTurk",7,2
"R_1DuLQtQNnGZtOBX",7,6,6,7,88,"sam","non-diagnostic","ND1",6.5,7,7,6,6,79,"robin","non-diagnostic","ND2",6.5,7,6,7,6,79,"francis","diagnostic","NA",6.5,7,6,7,7,90,"alex","diagnostic","NA",6.75,35,1,"MTurk",7,2
"R_12sbDc2616K9VqJ",6,6,7,6,82,"sam","non-diagnostic","ND1",6.25,6,5,5,6,79,"robin","diagnostic","NA",5.5,5,6,6,5,72,"francis","diagnostic","NA",5.5,5,7,6,5,61,"alex","non-diagnostic","ND2",5.75,45,1,"MTurk",7,2
"R_x5gMX8UnRuB25K9",6,6,6,7,85,"sam","non-diagnostic","ND1",6.25,6,6,5,7,90,"robin","diagnostic","NA",6,7,6,7,5,96,"francis","diagnostic","NA",6.25,6,7,6,7,90,"alex","non-diagnostic","ND2",6.5,40,1,"MTurk",7,5
"R_2a8k4ibBCr3twBn",6,7,6,7,100,"sam","non-diagnostic","ND1",6.5,5,5,6,7,96,"robin","non-diagnostic","ND2",5.75,5,7,7,6,100,"francis","diagnostic","NA",6.25,5,6,7,7,100,"alex","diagnostic","NA",6.25,56,2,"MTurk",1,2
"R_2dMI0DjTfTaypU5",7,6,7,6,92,"sam","non-diagnostic","ND1",6.5,7,6,7,6,91,"robin","diagnostic","NA",6.5,7,7,6,6,87,"francis","diagnostic","NA",6.5,7,7,6,6,87,"alex","non-diagnostic","ND2",6.5,28,1,"MTurk",7,2
"R_2qCw9qDWg0ttN17",7,6,7,7,77,"sam","non-diagnostic","ND1",6.75,6,7,5,6,72,"robin","diagnostic","NA",6,7,5,6,6,71,"francis","diagnostic","NA",6,6,7,6,5,69,"alex","non-diagnostic","ND2",6,25,1,"MTurk",7,2
"R_3Kv8IvtCKE46Ye5",7,6,5,6,85,"sam","non-diagnostic","ND1",6,7,6,7,6,86,"robin","diagnostic","NA",6.5,7,6,7,6,78,"francis","diagnostic","NA",6.5,7,6,7,6,66,"alex","non-diagnostic","ND2",6.5,25,1,"MTurk",7,2
"R_1fdvP9xb5GuQJLj",7,6,4,6,86,"sam","non-diagnostic","ND1",5.75,7,6,5,6,78,"robin","diagnostic","NA",6,7,5,5,6,71,"francis","diagnostic","NA",5.75,7,6,5,6,81,"alex","non-diagnostic","ND2",6,25,1,"MTurk",7,5
"R_3gSIrmEdmSSUxNH",5,6,6,5,81,"sam","non-diagnostic","ND1",5.5,7,6,6,7,73,"robin","non-diagnostic","ND2",6.5,7,6,6,5,73,"francis","diagnostic","NA",6,5,6,7,6,90,"alex","diagnostic","NA",6,25,1,"MTurk",7,2
"R_qVMqS7yDGirqZRn",6,6,6,6,92,"sam","non-diagnostic","ND1",6,6,7,6,6,95,"robin","non-diagnostic","ND2",6.25,6,6,6,6,89,"francis","diagnostic","NA",6,7,6,6,6,89,"alex","diagnostic","NA",6.25,66,1,"MTurk",7,2
"R_DuwXE02EnhVY7NT",3,2,3,7,48,"sam","non-diagnostic","ND1",3.75,3,7,1,4,47,"robin","diagnostic","NA",3.75,3,4,5,6,65,"francis","diagnostic","NA",4.5,2,3,6,1,56,"alex","non-diagnostic","ND2",3,25,1,"MTurk",7,2
"R_OyidBi1dguXkUo1",6,6,6,6,87,"sam","non-diagnostic","ND1",6,6,6,6,6,89,"robin","non-diagnostic","ND2",6,7,7,7,7,92,"francis","diagnostic","NA",7,7,7,7,7,88,"alex","diagnostic","NA",7,58,1,"MTurk",7,5
"R_2YWaeS6iglSelAx",4,6,4,5,60,"sam","non-diagnostic","ND1",4.75,3,7,5,6,60,"robin","diagnostic","NA",5.25,5,7,5,3,59,"francis","diagnostic","NA",5,3,6,5,4,60,"alex","non-diagnostic","ND2",4.5,29,1,"MTurk",1,2
"R_2xRVvWDWnX8LqZp",6,7,6,6,79,"sam","non-diagnostic","ND1",6.25,4,6,6,4,79,"robin","non-diagnostic","ND2",5,7,6,6,5,83,"francis","diagnostic","NA",6,6,6,6,7,74,"alex","diagnostic","NA",6.25,29,1,"MTurk",7,3
"R_2co7e5drfRo6dbQ",7,5,6,6,84,"sam","non-diagnostic","ND1",6,7,6,6,7,82,"robin","diagnostic","NA",6.5,7,6,6,7,83,"francis","diagnostic","NA",6.5,6,5,6,7,82,"alex","non-diagnostic","ND2",6,28,1,"MTurk",6,2
"R_8uMh02B0LwQ5xWp",3,5,4,7,71,"sam","non-diagnostic","ND1",4.75,4,5,6,3,22,"robin","non-diagnostic","ND2",4.5,4,6,4,6,72,"francis","diagnostic","NA",5,4,5,2,6,64,"alex","diagnostic","NA",4.25,22,1,"MTurk",7,2
"R_5uQtrMgr2HAWRzz",5,6,2,6,63,"sam","non-diagnostic","ND1",4.75,6,7,7,4,55,"robin","diagnostic","NA",6,3,5,3,5,64,"francis","diagnostic","NA",4,4,5,2,2,63,"alex","non-diagnostic","ND2",3.25,29,1,"MTurk",2,2
"R_3IXFkeDqbfSgded",7,6,6,6,82,"sam","non-diagnostic","ND1",6.25,6,6,5,6,57,"robin","non-diagnostic","ND2",5.75,6,5,6,6,73,"francis","diagnostic","NA",5.75,7,6,6,5,59,"alex","diagnostic","NA",6,38,2,"MTurk",7,2
"R_1PXLhUcO4H0WC4l",1,5,7,3,77,"sam","non-diagnostic","ND1",4,1,5,5,5,74,"robin","diagnostic","NA",4,4,5,5,3,80,"francis","diagnostic","NA",4.25,7,6,2,2,82,"alex","non-diagnostic","ND2",4.25,25,1,"MTurk",7,2
"R_2v2CyiQTx3LulM8",6,6,6,6,92,"sam","non-diagnostic","ND1",6,6,6,6,6,85,"robin","diagnostic","NA",6,6,6,6,6,85,"francis","diagnostic","NA",6,6,6,6,6,85,"alex","non-diagnostic","ND2",6,30,1,"MTurk",7,2
"R_1ZCcoN5Qqj5qHOp",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","non-diagnostic","ND2",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","diagnostic","NA",7,58,2,"MTurk",7,2
"R_2Yg1WNzomaO3Cvr",6,7,5,6,89,"sam","non-diagnostic","ND1",6,5,6,7,5,88,"robin","non-diagnostic","ND2",5.75,6,7,5,6,89,"francis","diagnostic","NA",6,7,5,7,6,90,"alex","diagnostic","NA",6.25,25,1,"MTurk",7,2
"R_3hAZ7oaf9VBA0N9",3,2,2,2,75,"sam","non-diagnostic","ND1",2.25,7,7,6,6,88,"robin","diagnostic","NA",6.5,6,6,7,7,89,"francis","diagnostic","NA",6.5,6,6,7,6,78,"alex","non-diagnostic","ND2",6.25,25,1,"MTurk",1,5
"R_Z9paG65gPjNXJdf",7,7,6,7,84,"sam","non-diagnostic","ND1",6.75,6,6,5,5,70,"robin","diagnostic","NA",5.5,7,7,6,6,78,"francis","diagnostic","NA",6.5,7,7,6,7,80,"alex","non-diagnostic","ND2",6.75,30,1,"MTurk",7,5
"R_3noxIGLYa9C2jtV",4,5,6,5,69,"sam","non-diagnostic","ND1",5,5,6,1,5,54,"robin","non-diagnostic","ND2",4.25,6,3,7,1,64,"francis","diagnostic","NA",4.25,5,1,5,5,30,"alex","diagnostic","NA",4,33,1,"MTurk",7,2
"R_AvTDZDxrpR9Xd1T",5,7,6,6,63,"sam","non-diagnostic","ND1",6,5,7,6,6,71,"robin","non-diagnostic","ND2",6,7,5,6,5,70,"francis","diagnostic","NA",5.75,6,7,5,6,69,"alex","diagnostic","NA",6,25,1,"MTurk",7,2
"R_2CDraIVWHxrP6XG",7,7,7,7,94,"sam","non-diagnostic","ND1",7,6,6,7,6,85,"robin","non-diagnostic","ND2",6.25,7,6,6,6,86,"francis","diagnostic","NA",6.25,6,6,7,6,90,"alex","diagnostic","NA",6.25,45,1,"MTurk",7,2
"R_1QKjNyLJNblzlWq",6,6,6,6,91,"sam","non-diagnostic","ND1",6,6,6,6,6,93,"robin","diagnostic","NA",6,6,6,5,5,85,"francis","diagnostic","NA",5.5,6,6,6,6,92,"alex","non-diagnostic","ND2",6,49,2,"MTurk",7,2
"R_3RmwkgBhQDdAbc1",6,7,7,6,80,"sam","non-diagnostic","ND1",6.5,6,7,6,6,96,"robin","non-diagnostic","ND2",6.25,7,6,6,6,68,"francis","diagnostic","NA",6.25,5,7,7,6,66,"alex","diagnostic","NA",6.25,32,2,"MTurk",1,2
"R_UtP8stkfwkXCLGp",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","diagnostic","NA",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","non-diagnostic","ND2",7,19,1,"MTurk",7,2
"R_2zOSKFNJJxxnxK7",4,5,6,7,81,"sam","non-diagnostic","ND1",5.5,4,5,6,7,83,"robin","diagnostic","NA",5.5,4,5,6,7,84,"francis","diagnostic","NA",5.5,4,5,6,7,92,"alex","non-diagnostic","ND2",5.5,25,1,"MTurk",7,5
"R_sFfQUzWbFkFobdv",6,5,4,4,58,"sam","non-diagnostic","ND1",4.75,1,2,3,4,69,"robin","non-diagnostic","ND2",2.5,7,6,5,4,68,"francis","diagnostic","NA",5.5,7,6,5,4,64,"alex","diagnostic","NA",5.5,37,2,"MTurk",3,2
"R_3LbtlRaqX74ZLhh",5,6,5,5,67,"sam","non-diagnostic","ND1",5.25,5,5,6,6,76,"robin","diagnostic","NA",5.5,6,6,7,6,70,"francis","diagnostic","NA",6.25,6,6,7,6,69,"alex","non-diagnostic","ND2",6.25,25,1,"MTurk",7,2
"R_2wuhdtFRcKbUvrP",6,7,7,7,100,"sam","non-diagnostic","ND1",6.75,6,7,7,6,79,"robin","non-diagnostic","ND2",6.5,7,7,6,7,69,"francis","diagnostic","NA",6.75,6,7,6,5,69,"alex","diagnostic","NA",6,37,2,"MTurk",7,2
"R_1WUA7jw7NAezvNv",6,7,6,7,86,"sam","non-diagnostic","ND1",6.5,6,7,6,7,86,"robin","diagnostic","NA",6.5,6,7,6,7,90,"francis","diagnostic","NA",6.5,6,7,6,7,82,"alex","non-diagnostic","ND2",6.5,24,1,"MTurk",7,2
"R_3MJvByt74YMrsrG",7,7,7,6,100,"sam","non-diagnostic","ND1",6.75,7,7,6,7,100,"robin","non-diagnostic","ND2",6.75,7,7,6,7,100,"francis","diagnostic","NA",6.75,7,7,7,6,100,"alex","diagnostic","NA",6.75,37,1,"MTurk",1,5
"R_2TEFbwHLM77jxXD",7,6,5,6,89,"sam","non-diagnostic","ND1",6,4,6,5,6,96,"robin","non-diagnostic","ND2",5.25,7,6,5,6,100,"francis","diagnostic","NA",6,6,6,5,7,96,"alex","diagnostic","NA",6,50,1,"MTurk",7,5
"R_115b5TnWZbGkXZl",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","non-diagnostic","ND2",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","diagnostic","NA",7,37,1,"MTurk",7,2
"R_2DS5WJy1Hs2TC9b",7,6,6,7,96,"sam","non-diagnostic","ND1",6.5,7,7,6,7,96,"robin","diagnostic","NA",6.75,7,6,6,6,94,"francis","diagnostic","NA",6.25,7,6,7,7,96,"alex","non-diagnostic","ND2",6.75,40,1,"MTurk",7,2
"R_T27qBjuDU9Vho2Z",7,6,6,7,97,"sam","non-diagnostic","ND1",6.5,7,7,7,7,99,"robin","non-diagnostic","ND2",7,6,7,6,6,97,"francis","diagnostic","NA",6.25,7,7,6,7,98,"alex","diagnostic","NA",6.75,37,1,"MTurk",7,5
"R_1DI2l6t2T8pd0Lr",5,6,7,7,90,"sam","non-diagnostic","ND1",6.25,5,6,7,6,97,"robin","non-diagnostic","ND2",6,7,5,7,7,99,"francis","diagnostic","NA",6.5,7,6,7,7,99,"alex","diagnostic","NA",6.75,25,2,"MTurk",7,5
"R_3dGi0ntP4WH2sVS",4,4,5,5,66,"sam","non-diagnostic","ND1",4.5,4,4,5,5,63,"robin","non-diagnostic","ND2",4.5,5,4,4,5,66,"francis","diagnostic","NA",4.5,4,4,4,5,76,"alex","diagnostic","NA",4.25,32,1,"MTurk",7,3
"R_3n7cH6CTNdHxcxs",7,6,7,7,98,"sam","non-diagnostic","ND1",6.75,7,7,6,7,100,"robin","non-diagnostic","ND2",6.75,7,6,7,6,99,"francis","diagnostic","NA",6.5,7,6,7,7,100,"alex","diagnostic","NA",6.75,45,2,"MTurk",2,2
"R_3sjfCT0YfHxiHu8",6,4,5,5,64,"sam","non-diagnostic","ND1",5,7,6,4,5,64,"robin","diagnostic","NA",5.5,6,5,5,7,80,"francis","diagnostic","NA",5.75,4,5,6,7,82,"alex","non-diagnostic","ND2",5.5,62,1,"MTurk",7,3
"R_AvuFdyrxaXqyowN",6,6,7,7,92,"sam","non-diagnostic","ND1",6.5,7,7,7,7,97,"robin","diagnostic","NA",7,6,6,7,6,80,"francis","diagnostic","NA",6.25,7,7,7,7,95,"alex","non-diagnostic","ND2",7,37,1,"MTurk",7,2
"R_2X05kos6WuyviK8",6,7,6,7,86,"sam","non-diagnostic","ND1",6.5,5,6,7,6,96,"robin","non-diagnostic","ND2",6,5,6,7,7,94,"francis","diagnostic","NA",6.25,5,6,7,6,95,"alex","diagnostic","NA",6,29,1,"MTurk",7,3
"R_xtJI7CzZ1jcYWyt",6,5,6,6,84,"sam","non-diagnostic","ND1",5.75,5,5,4,5,62,"robin","diagnostic","NA",4.75,6,5,6,6,70,"francis","diagnostic","NA",5.75,5,7,5,6,66,"alex","non-diagnostic","ND2",5.75,40,1,"MTurk",7,5
"R_1LAkoN4MCo3sFNH",6,7,6,7,85,"sam","non-diagnostic","ND1",6.5,6,7,6,7,96,"robin","non-diagnostic","ND2",6.5,6,7,6,7,93,"francis","diagnostic","NA",6.5,6,7,6,6,89,"alex","diagnostic","NA",6.25,22,1,"MTurk",1,5
"R_31d72lZvadH3YyE",5,7,4,7,87,"sam","non-diagnostic","ND1",5.75,6,7,4,5,84,"robin","diagnostic","NA",5.5,5,7,6,6,89,"francis","diagnostic","NA",6,5,7,6,5,76,"alex","non-diagnostic","ND2",5.75,35,1,"MTurk",7,2
"R_1M4DQ2gs2jX98HW",7,6,6,6,89,"sam","non-diagnostic","ND1",6.25,7,7,6,5,93,"robin","diagnostic","NA",6.25,5,5,6,5,80,"francis","diagnostic","NA",5.25,6,7,6,5,73,"alex","non-diagnostic","ND2",6,37,2,"MTurk",7,5
"R_2dXetGadpzhz2CY",1,3,5,7,79,"sam","non-diagnostic","ND1",4,2,4,6,7,57,"robin","non-diagnostic","ND2",4.75,1,3,5,7,80,"francis","diagnostic","NA",4,2,4,6,1,68,"alex","diagnostic","NA",3.25,30,1,"MTurk",1,2
"R_BDQKGsKg3KtSMQ9",6,5,7,6,89,"sam","non-diagnostic","ND1",6,6,5,7,6,95,"robin","diagnostic","NA",6,6,5,7,6,95,"francis","diagnostic","NA",6,6,4,7,6,95,"alex","non-diagnostic","ND2",5.75,25,2,"MTurk",7,3
"R_3m1PvZ3n802vm9T",7,4,7,6,64,"sam","non-diagnostic","ND1",6,7,4,6,7,66,"robin","diagnostic","NA",6,6,6,7,6,64,"francis","diagnostic","NA",6.25,7,5,6,7,70,"alex","non-diagnostic","ND2",6.25,38,2,"MTurk",7,2
"R_24LWaZWesn71TSC",6,6,6,6,84,"sam","non-diagnostic","ND1",6,6,6,6,6,92,"robin","diagnostic","NA",6,6,6,6,6,88,"francis","diagnostic","NA",6,6,6,6,6,85,"alex","non-diagnostic","ND2",6,48,2,"MTurk",7,1
"R_3mjH5143l3GANHt",6,4,4,5,80,"sam","non-diagnostic","ND1",4.75,6,4,3,5,80,"robin","non-diagnostic","ND2",4.5,7,6,5,6,70,"francis","diagnostic","NA",6,6,5,4,5,66,"alex","diagnostic","NA",5,24,1,"MTurk",7,2
"R_3fHs2k5b6BzUv1c",7,7,7,6,86,"sam","non-diagnostic","ND1",6.75,7,7,6,7,100,"robin","diagnostic","NA",6.75,7,7,7,7,77,"francis","diagnostic","NA",7,7,7,7,7,95,"alex","non-diagnostic","ND2",7,28,2,"MTurk",7,2
"R_0qtA1FSxo5aO3TP",7,7,7,7,86,"sam","non-diagnostic","ND1",7,7,7,7,7,84,"robin","diagnostic","NA",7,7,7,7,7,84,"francis","diagnostic","NA",7,6,6,7,7,77,"alex","non-diagnostic","ND2",6.5,32,2,"MTurk",7,5
"R_DSJPE8vyB7iaG2J",6,7,6,6,91,"sam","non-diagnostic","ND1",6.25,6,6,6,7,94,"robin","non-diagnostic","ND2",6.25,5,5,6,5,69,"francis","diagnostic","NA",5.25,6,6,5,6,82,"alex","diagnostic","NA",5.75,28,2,"MTurk",7,2
"R_1IsCUYLGRexZHGD",5,7,5,7,79,"sam","non-diagnostic","ND1",6,5,7,3,6,100,"robin","non-diagnostic","ND2",5.25,5,7,4,6,36,"francis","diagnostic","NA",5.5,7,4,6,5,63,"alex","diagnostic","NA",5.5,35,2,"MTurk",7,2
"R_2coXyc0fTK0l8FA",6,5,4,5,79,"sam","non-diagnostic","ND1",5,6,7,7,6,74,"robin","non-diagnostic","ND2",6.5,5,6,6,5,68,"francis","diagnostic","NA",5.5,5,6,6,4,65,"alex","diagnostic","NA",5.25,40,2,"MTurk",2,2
"R_OPVgdrGF5Ba1o1H",6,6,6,6,85,"sam","non-diagnostic","ND1",6,6,6,6,6,86,"robin","non-diagnostic","ND2",6,6,6,6,6,87,"francis","diagnostic","NA",6,6,6,6,6,85,"alex","diagnostic","NA",6,57,2,"MTurk",7,2
"R_1ihcWG3xADvDu1J",7,6,6,7,86,"sam","non-diagnostic","ND1",6.5,7,6,6,7,82,"robin","diagnostic","NA",6.5,7,5,7,7,85,"francis","diagnostic","NA",6.5,7,5,6,6,83,"alex","non-diagnostic","ND2",6,35,1,"MTurk",7,1
"R_2bK31OMVFNbDYLs",5,4,5,5,62,"sam","non-diagnostic","ND1",4.75,6,5,4,5,72,"robin","diagnostic","NA",5,5,5,4,5,64,"francis","diagnostic","NA",4.75,5,5,4,5,68,"alex","non-diagnostic","ND2",4.75,52,1,"MTurk",7,3
"R_3NEA69kjK1WFRot",6,6,7,7,96,"sam","non-diagnostic","ND1",6.5,6,7,7,6,88,"robin","diagnostic","NA",6.5,6,7,7,6,83,"francis","diagnostic","NA",6.5,6,7,6,7,94,"alex","non-diagnostic","ND2",6.5,30,2,"MTurk",1,2
"R_2ExWWJ0BTGdUTbG",7,6,4,4,70,"sam","non-diagnostic","ND1",5.25,6,5,6,7,90,"robin","diagnostic","NA",6,6,5,6,5,79,"francis","diagnostic","NA",5.5,6,6,6,5,87,"alex","non-diagnostic","ND2",5.75,24,1,"MTurk",7,5
"R_2ckoNbYJMTwB5Iw",5,7,6,6,69,"sam","non-diagnostic","ND1",6,7,6,7,6,73,"robin","non-diagnostic","ND2",6.5,7,6,7,6,70,"francis","diagnostic","NA",6.5,7,6,7,6,71,"alex","diagnostic","NA",6.5,34,2,"MTurk",7,3
"R_2WJaFPDVTfgtJ53",6,7,7,5,84,"sam","non-diagnostic","ND1",6.25,6,7,5,7,73,"robin","non-diagnostic","ND2",6.25,7,6,5,6,82,"francis","diagnostic","NA",6,6,7,5,6,79,"alex","diagnostic","NA",6,48,2,"MTurk",7,2
"R_1FVXnPVnAPZLQ9b",5,3,4,6,71,"sam","non-diagnostic","ND1",4.5,3,4,6,4,78,"robin","non-diagnostic","ND2",4.25,5,3,4,6,65,"francis","diagnostic","NA",4.5,5,2,3,6,74,"alex","diagnostic","NA",4,45,1,"MTurk",7,1
"R_WfEap1cvRCL71br",6,6,7,7,82,"sam","non-diagnostic","ND1",6.5,7,6,7,7,96,"robin","non-diagnostic","ND2",6.75,6,6,5,6,83,"francis","diagnostic","NA",5.75,7,7,6,7,86,"alex","diagnostic","NA",6.75,74,2,"MTurk",7,5
