"","ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot"
"634","R_1nNiNwyXNidKWHO",3,3,4,4,23,"sam","diagnostic","NA",47,2,2,5,3.5
"635","R_2f1FDScvwkzXrj6",4,4,4,4,50,"sam","diagnostic","NA",19,1,2,2,4
"636","R_3PYwayyAgFKJBet",2,1,2,3,25,"sam","diagnostic","NA",18,1,7,2,2
"637","R_3iyTp7hKa4dfAnb",4,4,1,2,57,"sam","diagnostic","NA",32,2,7,2,2.75
"638","R_1M6gV0oIkqQe7eP",1,1,1,1,0,"sam","diagnostic","NA",54,1,4,5,1
"639","R_OqZvl9DSXYdxc9b",2,2,4,2,22,"sam","diagnostic","NA",43,2,7,2,2.5
"640","R_DMleufMNtsfo6Zz",2,2,4,2,17,"sam","diagnostic","NA",23,2,7,5,2.5
"641","R_3qEulv2u5eOs2J9",3,4,2,3,30,"sam","diagnostic","NA",55,2,7,2,3
"642","R_1jUJ5L9pHKJJLSV",2,2,3,3,16,"sam","diagnostic","NA",51,2,7,5,2.5
"643","R_9MLQeY0SrpwQOrv",5,4,5,3,60,"sam","diagnostic","NA",21,2,7,5,4.25
"644","R_7OhSeawc8v3aCo9",2,2,3,3,23,"sam","diagnostic","NA",19,1,2,2,2.5
"645","R_3KBfL1VSzblkama",2,3,4,3,40,"sam","diagnostic","NA",18,2,2,2,3
"646","R_29gNvJwI1e53XJk",2,2,3,3,27,"sam","diagnostic","NA",21,1,7,2,2.5
"647","R_3nGibLaqWLw4gtq",2,2,4,2,25,"sam","diagnostic","NA",24,2,7,2,2.5
"648","R_2YneZK4NJXHV4ZK",2,2,4,1,23,"sam","diagnostic","NA",22,2,7,2,2.25
"649","R_bqja17swTgUfw0F",1,1,2,1,7,"sam","diagnostic","NA",19,2,2,2,1.25
"650","R_RlgujOS14hohFa9",2,2,3,3,12,"sam","diagnostic","NA",20,2,7,2,2.5
"651","R_25yFfxuflrVxapt",3,3,4,4,40,"sam","diagnostic","NA",22,2,4,5,3.5
"652","R_1GCziE1xl1YW4qK",3,3,4,4,29,"sam","diagnostic","NA",54,2,7,5,3.5
"653","R_3sp52ai2P0MyiUu",3,3,5,2,38,"sam","diagnostic","NA",19,1,7,2,3.25
"654","R_2EuiE4idUdI24mT",3,3,3,3,17,"sam","diagnostic","NA",20,2,7,5,3
"655","R_3g10xco5e9UujHS",3,2,4,3,9,"sam","diagnostic","NA",32,1,2,2,3
"656","R_10VntjbwFOX8dtC",1,1,2,2,13,"sam","diagnostic","NA",38,2,7,2,1.5
"657","R_2fJVAmjIxqTPC4S",2,3,3,4,85,"sam","diagnostic","NA",53,1,2,2,3
"658","R_1FETAK5Nwvim5IR",3,3,4,2,25,"sam","diagnostic","NA",21,2,7,5,3
"659","R_3rS4qUHZceeyV80",2,1,2,2,6,"sam","diagnostic","NA",23,2,7,2,1.75
"660","R_2xRxndKJNX7BYOk",3,3,5,3,30,"sam","diagnostic","NA",40,1,4,5,3.5
"661","R_1NEyrQ3WhpEx5HJ",1,2,3,2,30,"sam","diagnostic","NA",18,1,2,5,2
"662","R_ulAfx3eem2BY3Id",1,1,4,1,0,"sam","diagnostic","NA",22,2,5,5,1.75
"663","R_1C8sQjfcenQOaQY",1,1,1,1,4,"sam","diagnostic","NA",21,2,4,5,1
"664","R_1gHgq0wRJEC39Vw",3,3,3,3,23,"sam","diagnostic","NA",22,2,7,2,3
"665","R_1DM4ZnLBOFVN6yE",1,1,1,1,10,"sam","diagnostic","NA",23,2,2,2,1
"666","R_2z5vl1SWiU45m1u",1,1,3,2,19,"sam","diagnostic","NA",19,1,2,2,1.75
"667","R_1UoIsTMuMJQjoRP",1,1,2,1,9,"sam","diagnostic","NA",22,2,7,5,1.25
"668","R_279ASOHPHIUoqrs",1,2,2,2,10,"sam","diagnostic","NA",19,2,7,5,1.75
"669","R_2DM65nWhkg2mujg",4,4,4,4,30,"sam","diagnostic","NA",24,2,5,2,4
"670","R_3EinHUFAkmw3you",3,3,4,4,41,"sam","diagnostic","NA",21,2,7,2,3.5
"671","R_1pLqhhzKfKz64xc",1,1,2,1,0,"sam","diagnostic","NA",19,1,7,5,1.25
"672","R_27KJWZYqETXwst6",2,2,3,3,25,"sam","diagnostic","NA",20,2,7,5,2.5
"673","R_1gUu2EPFZdjIFQf",1,3,3,2,15,"sam","diagnostic","NA",20,1,7,2,2.25
"674","R_1f0XqfG9VLXlVq2",1,1,6,1,27,"sam","diagnostic","NA",19,1,2,2,2.25
"675","R_2wpOE78FeSTQxSU",2,2,2,3,20,"sam","diagnostic","NA",19,1,7,2,2.25
"676","R_2Yy6BK86aXPrADI",1,1,1,1,0,"sam","diagnostic","NA",19,2,7,2,1
"677","R_3mmfHmEhLksXEeZ",2,1,3,2,30,"sam","diagnostic","NA",21,1,7,2,2
"678","R_26mOF9c8JPQCu2C",2,2,2,2,21,"sam","diagnostic","NA",24,2,7,2,2
"679","R_ZajaHs6ng4V7gMV",1,1,1,1,2,"sam","diagnostic","NA",20,2,7,2,1
"680","R_1QcoTw8jS04jd9x",3,3,2,2,25,"sam","diagnostic","NA",20,1,2,5,2.5
"681","R_3plrl95XTIT1DM0",2,2,3,3,35,"sam","diagnostic","NA",40,2,5,2,2.5
"682","R_893EVhxIvzTW1Lb",2,2,4,1,20,"sam","diagnostic","NA",31,2,7,5,2.25
"683","R_3fJJVQhvQAuXNhE",3,3,5,4,15,"sam","diagnostic","NA",24,2,2,5,3.75
"684","R_SMITmA8Mp82K2Hf",4,3,3,3,41,"sam","diagnostic","NA",21,2,6,2,3.25
"685","R_0D6MLUqvjrsawHT",2,3,4,3,21,"sam","diagnostic","NA",21,2,2,2,3
"686","R_qPbZV8C6VYtRycp",2,2,4,4,41,"sam","diagnostic","NA",29,2,7,2,3
"687","R_1CCLU0Pvtx5Bk0a",3,2,4,3,40,"sam","diagnostic","NA",23,2,7,5,3
"688","R_3emjqDFsESDK7kf",2,3,3,4,22,"sam","diagnostic","NA",21,2,6,5,3
"689","R_9GjYI0Oz2zufG37",1,1,2,1,0,"sam","diagnostic","NA",22,1,7,2,1.25
"690","R_3rTiUgcY9mViod4",3,3,4,4,54,"sam","diagnostic","NA",20,1,2,5,3.5
"691","R_eVSyAktTERpW6UF",2,1,2,1,27,"sam","diagnostic","NA",20,1,1,5,1.5
"692","R_2fJvOc45IzISbLX",2,2,3,2,15,"sam","diagnostic","NA",27,2,7,2,2.25
"693","R_3IZbpujtKFvX3q4",2,1,3,2,22,"sam","diagnostic","NA",18,1,2,5,2
"694","R_2zZVv64DVF6Bphr",1,1,1,1,13,"sam","diagnostic","NA",21,2,2,2,1
"695","R_Y6pwiemwT6bXDoJ",3,3,3,3,25,"sam","diagnostic","NA",20,2,7,5,3
"696","R_2SIbXofyY1DRPZ9",1,2,3,3,7,"sam","diagnostic","NA",19,2,7,5,2.25
"697","R_ac7UXIMHXfNgTaV",1,1,3,2,10,"sam","diagnostic","NA",25,1,7,2,1.75
"698","R_3NU2nept43SIXtW",2,2,3,2,20,"sam","diagnostic","NA",20,2,7,2,2.25
"699","R_3e9syvR1OiZl926",2,3,3,3,35,"sam","diagnostic","NA",23,2,7,5,2.75
"700","R_1eUUw7icDDe0tra",3,2,4,2,40,"sam","diagnostic","NA",18,2,2,2,2.75
"701","R_3oMeMTpvXsj3a41",3,3,4,3,44,"sam","diagnostic","NA",18,2,7,5,3.25
"702","R_27r0LJ6FjIS0ctL",3,3,4,4,71,"sam","diagnostic","NA",39,2,7,2,3.5
"703","R_pcPKboGEEpRRZkt",3,2,6,3,30,"sam","diagnostic","NA",19,1,5,2,3.5
"704","R_2VliLEcInn2W3fb",2,3,4,2,23,"sam","diagnostic","NA",19,2,7,2,2.75
"705","R_3PNe7Zcc23oYXUo",4,4,4,4,50,"sam","diagnostic","NA",26,2,7,2,4
"706","R_C1gzVuovhIPfj8Z",4,3,2,2,30,"sam","diagnostic","NA",20,1,1,2,2.75
"707","R_1HpXnRZ4GXwmtGi",1,1,1,1,7,"sam","diagnostic","NA",27,2,7,2,1
"708","R_21Ag9VubgPJAD9c",2,3,3,4,20,"sam","diagnostic","NA",19,2,7,2,3
"709","R_PApOC4H94vpr6Jr",2,3,4,2,30,"sam","diagnostic","NA",18,2,7,2,2.75
"710","R_QfW5VHCSKVbD81X",2,3,3,2,10,"sam","diagnostic","NA",18,2,7,2,2.5
"711","R_2Ysx2IEyYsjcDho",2,2,3,2,15,"sam","diagnostic","NA",20,1,7,5,2.25
"712","R_ONnJcl6vJLar92F",2,3,3,3,20,"sam","diagnostic","NA",28,2,1,5,2.75
"713","R_6xPOL1D6sxvWktr",1,2,3,2,10,"sam","diagnostic","NA",33,2,7,2,2
"714","R_1roZFzfmrz35Vco",1,1,3,3,14,"sam","diagnostic","NA",49,1,2,2,2
"715","R_1LTmRcuNvn6V7ly",2,2,4,4,11,"sam","diagnostic","NA",20,1,2,5,3
"716","R_3dXmdjFknMCHkUn",2,2,3,2,25,"sam","diagnostic","NA",22,1,7,5,2.25
"717","R_0cbkPkmGTqUm4p3",2,2,4,3,30,"sam","diagnostic","NA",28,2,7,2,2.75
"718","R_2f8TisKlfvjKlWe",3,3,4,4,40,"sam","diagnostic","NA",40,2,5,5,3.5
"719","R_3FPeAd2fYLaB3r9",2,2,3,2,30,"sam","diagnostic","NA",26,2,7,2,2.25
"720","R_12A7fPU7s2xkYQ3",2,2,4,2,19,"sam","diagnostic","NA",19,2,4,5,2.5
"721","R_pzpI5NqNfCM0cQF",4,3,4,3,39,"sam","diagnostic","NA",20,2,7,2,3.5
"722","R_3P79H6mzeUeOFFn",2,3,2,1,7,"sam","diagnostic","NA",20,2,2,2,2
"723","R_dj9ucIMUHnH0ym5",2,2,3,1,22,"sam","diagnostic","NA",21,1,7,2,2
"724","R_12gQVSo1i5WEzAT",4,4,6,5,50,"sam","diagnostic","NA",50,2,7,5,4.75
"725","R_26hGlIqidGJ3XSg",3,3,3,3,10,"sam","diagnostic","NA",24,2,1,2,3
"726","R_pcn2vkr0nDYmFod",3,3,4,2,40,"sam","diagnostic","NA",21,2,7,2,3
"727","R_2vitwKXcR65e2mk",1,2,2,2,26,"sam","diagnostic","NA",33,1,6,5,1.75
"728","R_Zsrv7AdLk6f0lPj",2,2,4,2,26,"sam","diagnostic","NA",24,1,2,5,2.5
"729","R_3frtxWq5Rnb7XXF",3,3,3,3,29,"sam","diagnostic","NA",27,2,7,2,3
"730","R_3GrXlwpIxEidYf4",2,2,4,2,38,"sam","diagnostic","NA",22,2,3,2,2.5
"731","R_2XmIs5ZVlNgtiap",3,3,4,2,71,"sam","diagnostic","NA",35,1,2,2,3
"732","R_1HdHYgoTf9OA3IJ",2,1,4,2,19,"sam","diagnostic","NA",19,2,5,5,2.25
"733","R_2XoMwudoVDJeFsU",1,1,2,1,0,"sam","diagnostic","NA",19,2,7,2,1.25
"734","R_3KDvaLQUGNR3U4d",2,2,3,2,20,"sam","diagnostic","NA",25,2,7,2,2.25
"735","R_1INtsZuPgMS2cE7",2,2,4,1,16,"sam","diagnostic","NA",20,5,7,5,2.25
"736","R_ReiM9kJKJPZQAAp",4,4,5,3,50,"sam","diagnostic","NA",33,2,7,2,4
"737","R_2z93aWSvX6pNhO9",1,1,1,1,21,"sam","diagnostic","NA",25,2,7,2,1
"738","R_3oXgg3cYIscJhTw",1,1,3,1,0,"sam","diagnostic","NA",18,2,2,2,1.5
"739","R_3P7WB8jF3j6zMg0",3,3,3,2,25,"sam","diagnostic","NA",19,2,7,2,2.75
"740","R_1GIAGFQzg6FxLrN",2,2,3,2,13,"sam","diagnostic","NA",19,2,7,2,2.25
"741","R_1QL9poQI8Ey4tmx",3,2,2,2,18,"sam","diagnostic","NA",19,2,5,5,2.25
"742","R_cNDjVOEXDAISL7P",1,1,4,1,0,"sam","diagnostic","NA",48,2,1,5,1.75
"743","R_8BOyuSuxTczDXjP",2,2,2,2,10,"sam","diagnostic","NA",19,1,7,2,2
"744","R_1onkwHr0Ghpv7cm",4,4,3,3,30,"sam","diagnostic","NA",47,2,2,5,3.5
"745","R_0BNT0fgZJnvnmoN",2,2,3,1,10,"sam","diagnostic","NA",23,1,7,5,2
"746","R_1d1hqYYOj3YHnAB",2,2,2,2,11,"sam","diagnostic","NA",18,1,7,5,2
"747","R_3lE1XGwszLDcKgu",3,3,5,4,41,"sam","diagnostic","NA",33,2,5,5,3.75
"748","R_vIGvLpNcrHnPksx",2,2,2,2,16,"sam","diagnostic","NA",23,2,7,2,2
"749","R_10T2uoqYbcYigmm",3,3,4,2,34,"sam","diagnostic","NA",43,2,7,2,3
"750","R_XsS8SCmxrjgmfBf",1,1,4,1,0,"sam","diagnostic","NA",21,2,7,5,1.75
"751","R_2zSKFtFhfJcxITH",2,1,1,2,10,"sam","diagnostic","NA",22,2,7,5,1.5
"752","R_3hlJl5e3hheu40M",2,2,3,2,18,"sam","diagnostic","NA",21,2,7,5,2.25
"753","R_1Crq2NYugi0gAC6",1,1,5,3,8,"sam","diagnostic","NA",20,2,7,5,2.5
"754","R_1ITcXqisVTgfngE",2,2,5,4,40,"sam","diagnostic","NA",18,2,2,5,3.25
"755","R_OOwTA71WcGGZlvz",1,1,3,3,0,"sam","diagnostic","NA",19,1,7,2,2
"756","R_2PC0MUmP0OL1ofh",1,1,1,1,0,"sam","diagnostic","NA",19,1,7,2,1
"757","R_TaUG3zX7uOKCmDT",1,1,1,1,8,"sam","diagnostic","NA",20,2,7,2,1
"758","R_2fx32JlKwYZcpRh",2,2,3,2,15,"sam","diagnostic","NA",21,1,7,2,2.25
"759","R_333xjw6jWame2Hx",1,1,1,1,0,"sam","diagnostic","NA",28,1,2,2,1
"760","R_A0x8uz5ZKQL1nDX",2,2,1,1,20,"sam","diagnostic","NA",22,1,7,5,1.5
"761","R_25zuz4q8KNIw8F5",2,2,6,4,70,"sam","diagnostic","NA",22,2,2,5,3.5
"762","R_tMsa1GoCLYoVNId",2,2,1,1,4,"sam","diagnostic","NA",27,2,7,5,1.5
"763","R_2Pi36X02EevWfmX",4,2,4,1,14,"sam","diagnostic","NA",19,1,7,5,2.75
"764","R_27j4K1XRjPon1Rc",3,1,3,1,9,"sam","diagnostic","NA",28,2,7,2,2
"765","R_2zLVQR5ljEQEO8q",2,2,2,2,24,"sam","diagnostic","NA",20,2,7,2,2
"766","R_3HjL5ghy9tQE53M",4,4,4,4,50,"sam","diagnostic","NA",20,1,7,2,4
"767","R_29bGr7KY1rLPJiZ",1,1,1,1,10,"sam","diagnostic","NA",20,1,2,2,1
"768","R_2gy7Sbf9yR4va6J",2,1,4,3,20,"sam","diagnostic","NA",23,2,7,5,2.5
"769","R_pAiD1wS4SsK8tqh",2,2,4,2,25,"sam","diagnostic","NA",23,2,7,5,2.5
"770","R_30jcyXQmK5xDhby",1,1,4,4,20,"sam","diagnostic","NA",27,2,7,2,2.5
"771","R_2DUgU6RooxgPNBo",2,2,1,1,10,"sam","diagnostic","NA",20,1,7,5,1.5
"772","R_2D7gtUrRk5QKy4b",2,1,2,1,20,"sam","diagnostic","NA",27,2,5,2,1.5
"773","R_Dohe9c2g131HZ3H",2,2,2,2,17,"sam","diagnostic","NA",19,2,7,2,2
"774","R_1Nh3UPMAnUcoQnx",1,1,1,1,0,"sam","diagnostic","NA",18,1,7,2,1
"775","R_2SiskkQfSy5CYg7",1,1,1,1,5,"sam","diagnostic","NA",46,2,1,2,1
"776","R_3I6Ulx1X6uwwCI5",1,2,3,1,26,"sam","diagnostic","NA",19,2,6,2,1.75
"777","R_1QuUqFOM71AiWp6",1,1,3,1,0,"sam","diagnostic","NA",19,1,2,2,1.5
"778","R_SPOFownHDS9iEdH",2,2,3,2,25,"sam","diagnostic","NA",20,2,7,5,2.25
"779","R_UGce5ihdb1Xl9O9",3,3,3,2,31,"sam","diagnostic","NA",47,2,1,2,2.75
"780","R_1DCEvrROIcsNzPx",1,2,3,3,0,"sam","diagnostic","NA",19,2,7,2,2.25
"781","R_3G6VS5i8JOM9NvJ",2,1,1,1,35,"sam","diagnostic","NA",18,2,7,5,1.25
"782","R_2bKuDLOnmGL7GKF",3,3,3,3,37,"sam","diagnostic","NA",29,1,7,2,3
"783","R_3OcQF1FBbMEjKB2",2,2,3,2,20,"sam","diagnostic","NA",51,2,7,2,2.25
"784","R_22XQMloQkq9bBVz",1,1,5,1,0,"sam","diagnostic","NA",19,2,6,5,2
"785","R_2tzo61BObPjJPQa",3,4,4,3,50,"sam","diagnostic","NA",36,2,7,5,3.5
"786","R_1fkl401LHEHzhJo",2,2,2,3,15,"sam","diagnostic","NA",19,1,1,5,2.25
"787","R_1eIELsKujujaJAF",1,1,2,1,10,"sam","diagnostic","NA",19,2,7,2,1.25
"788","R_3FVC8o83xReK10a",2,2,2,2,15,"sam","diagnostic","NA",24,2,7,2,2
"789","R_22PlznZok1yrN4K",1,2,3,1,5,"sam","diagnostic","NA",21,2,2,2,1.75
"790","R_215pBkJdZOkvuRB",1,1,1,1,0,"sam","diagnostic","NA",21,1,7,2,1
"791","R_3qyvTjNDr9NL0se",2,2,6,2,23,"sam","diagnostic","NA",19,1,7,2,3
"792","R_yjBI8yZ5UFQEDuN",4,3,4,4,45,"sam","diagnostic","NA",19,1,2,2,3.75
"793","R_2PurvWYCPARx9ZI",1,1,1,1,11,"sam","diagnostic","NA",25,2,7,2,1
"794","R_2xQuxfVmKzuXzEh",2,2,4,2,15,"sam","diagnostic","NA",18,2,7,2,2.5
"795","R_25ZMfQhjhyl0HaW",1,1,4,1,19,"sam","diagnostic","NA",20,2,7,2,1.75
"796","R_1IWYMjWylwhe74d",2,2,3,2,10,"sam","diagnostic","NA",26,2,7,5,2.25
"797","R_yDf0BQSLLw8Ydqh",2,2,3,2,10,"sam","diagnostic","NA",26,1,3,2,2.25
"798","R_1oHHC794p0hoKSp",3,3,4,4,39,"sam","diagnostic","NA",19,2,7,2,3.5
"799","R_1JKEOCoYbbSYdM3",7,4,4,4,50,"sam","diagnostic","NA",29,2,7,2,4.75
"800","R_3qy6nGd8TSqNUiF",2,2,2,2,25,"sam","diagnostic","NA",23,1,7,2,2
"801","R_1F2pQNZEgKodDHD",1,1,1,3,0,"sam","diagnostic","NA",18,1,7,2,1.5
"802","R_bDu5nEds4JJwrQZ",3,3,2,3,0,"robin","non-diagnostic","ND1",25,1,7,2,2.75
"803","R_1JUC97i2UNZV5GY",1,1,1,1,3,"robin","non-diagnostic","ND1",19,3,7,5,1
"804","R_2rOTs15tqRQwV9K",1,1,1,1,1,"robin","non-diagnostic","ND1",19,1,7,2,1
"805","R_2uwlynXLtiMStnr",1,1,1,1,0,"robin","non-diagnostic","ND1",20,1,7,2,1
"806","R_erKQyfWZ9q2Z56N",5,3,5,5,33,"robin","non-diagnostic","ND1",28,2,5,5,4.5
"807","R_2xWNcMUACVyQDvc",3,3,3,3,35,"robin","non-diagnostic","ND1",19,1,7,2,3
"808","R_ujF7pt9dJhzEVgt",4,2,1,4,46,"robin","non-diagnostic","ND1",29,1,1,2,2.75
"809","R_1I5hwVc8RikhWdH",1,1,1,2,8,"robin","non-diagnostic","ND1",40,1,7,5,1.25
"810","R_OwI8g6B8uW8YHAJ",4,3,2,3,35,"robin","non-diagnostic","ND1",22,2,7,5,3
"811","R_1CjUYQNygqULYxG",1,1,1,3,23,"robin","non-diagnostic","ND1",19,1,2,2,1.5
"812","R_2rNoDXoOhs1COP6",2,2,1,2,13,"robin","non-diagnostic","ND1",21,2,7,2,1.75
"813","R_2ctiTMeueCwjoPv",1,1,1,1,9,"robin","non-diagnostic","ND1",23,1,7,4,1
"814","R_1CdMbKoyF0CVm8z",4,3,2,3,28,"robin","non-diagnostic","ND1",39,2,7,2,3
"815","R_0pTZcsGybJfQdUZ",1,1,2,1,0,"robin","non-diagnostic","ND1",18,3,7,2,1.25
"816","R_1DLP0DLmpJ7REKM",2,1,1,1,11,"robin","non-diagnostic","ND1",19,2,7,2,1.25
"817","R_3O1X5fc0veE5kRg",1,1,2,1,0,"robin","non-diagnostic","ND1",25,1,2,2,1.25
"818","R_3NxpX8mpVRXVGeD",4,3,2,2,30,"robin","non-diagnostic","ND1",19,2,7,2,2.75
"819","R_115tFFwTvBaHTwP",2,3,1,2,22,"robin","non-diagnostic","ND1",25,1,7,5,2
"820","R_2YG29dlgKspbG2x",4,4,3,3,35,"robin","non-diagnostic","ND1",47,2,7,5,3.5
"821","R_26gVT5rK8ov5wp6",4,2,3,4,39,"robin","non-diagnostic","ND1",20,2,7,5,3.25
"822","R_1gthlB8EgozM7ZB",2,2,2,2,9,"robin","non-diagnostic","ND1",56,1,1,2,2
"823","R_3iOTTwFh7Jr0gMs",2,1,1,1,14,"robin","non-diagnostic","ND1",20,1,7,2,1.25
"824","R_2SeRzoT13seY90C",2,1,1,2,5,"robin","non-diagnostic","ND1",18,1,3,2,1.5
"825","R_27VtWpPnu7kfXnv",1,1,1,1,0,"robin","non-diagnostic","ND1",28,1,7,5,1
"826","R_1nZzAd0VsA2AwcC",1,1,1,1,20,"robin","non-diagnostic","ND1",40,1,7,2,1
"827","R_2EBuQYfjF5MVrNt",1,2,1,2,11,"robin","non-diagnostic","ND1",20,1,7,2,1.5
"828","R_UymjWGrMYRzw73b",2,2,2,2,14,"robin","non-diagnostic","ND1",20,2,1,2,2
"829","R_bmBeQII7efeZBYZ",1,1,1,1,5,"robin","non-diagnostic","ND1",19,2,7,5,1
"830","R_2ZQ4rvWdxIauIgL",1,1,1,1,0,"robin","non-diagnostic","ND1",18,1,6,2,1
"831","R_YQdeUXw3n1FQAIF",1,1,1,1,0,"robin","non-diagnostic","ND1",24,2,7,5,1
"832","R_2TRvTnlnLCFUjO7",1,1,1,1,0,"robin","non-diagnostic","ND1",20,2,2,5,1
"833","R_740zTljtP230Nep",2,2,3,3,16,"robin","non-diagnostic","ND1",34,2,7,2,2.5
"834","R_1rc81dd8tZhEG1e",2,2,2,2,20,"robin","non-diagnostic","ND1",25,2,7,2,2
"835","R_1LA529Npp8MAbrL",4,4,3,4,30,"robin","non-diagnostic","ND1",24,2,7,5,3.75
"836","R_2RQzWOhpDAB2BOV",3,4,4,3,30,"robin","non-diagnostic","ND1",21,1,7,2,3.5
"837","R_3j8wHfhCxs2wgMo",2,3,2,3,24,"robin","non-diagnostic","ND1",21,1,7,5,2.5
"838","R_3rOGjg1fexaQxPX",2,2,3,2,35,"robin","non-diagnostic","ND1",19,1,7,5,2.25
"839","R_2uDMUdemubzVy1m",2,2,1,2,8,"robin","non-diagnostic","ND1",31,1,5,2,1.75
"840","R_23fctR8hmsJxSpl",1,2,2,2,22,"robin","non-diagnostic","ND1",21,1,7,2,1.75
"841","R_3CTsex57gcrXn73",3,3,2,3,30,"robin","non-diagnostic","ND1",21,2,7,2,2.75
"842","R_1PXcq9IdvtOAChD",3,4,2,4,46,"robin","non-diagnostic","ND1",19,2,5,2,3.25
"843","R_8p7xh1OR6Zibrwt",3,1,1,1,0,"robin","non-diagnostic","ND1",18,2,5,5,1.5
"844","R_2YKPwkVgu7zEfDT",3,2,2,2,25,"robin","non-diagnostic","ND1",32,1,2,2,2.25
"845","R_1mDvHDCyYdj9eL7",2,3,2,3,30,"robin","non-diagnostic","ND1",22,1,7,2,2.5
"846","R_3DhbczaZsG0oMfM",2,1,2,2,17,"robin","non-diagnostic","ND1",26,1,7,5,1.75
"847","R_1Fhp0cRNCkvAh6X",1,1,1,1,0,"robin","non-diagnostic","ND1",20,2,7,5,1
"848","R_3GDiX6uziiQcPBY",7,4,4,4,51,"robin","non-diagnostic","ND1",42,2,7,2,4.75
"849","R_Ai0ovnKbhSidONj",2,1,1,3,24,"robin","non-diagnostic","ND1",18,2,6,5,1.75
"850","R_3G2PeBUDXX19Jmo",1,1,2,2,9,"robin","non-diagnostic","ND1",53,1,7,5,1.5
"851","R_pEu9tN3tXNVd2cV",2,3,1,2,21,"robin","non-diagnostic","ND1",18,2,7,2,2
"852","R_1Clq4lVVfl67Cxn",1,1,1,1,0,"robin","non-diagnostic","ND1",24,2,7,5,1
"853","R_1DT05mFZIJ9mO6L",4,3,3,3,30,"robin","non-diagnostic","ND1",20,2,2,2,3.25
"854","R_2VD5jqOsLPxm1Yx",1,1,1,1,10,"robin","non-diagnostic","ND1",19,2,5,2,1
"855","R_O9hRMip0eJsczQd",1,1,1,1,0,"robin","non-diagnostic","ND1",27,2,7,2,1
"856","R_2WG388auznr4lIh",3,3,2,3,21,"robin","non-diagnostic","ND1",20,2,5,2,2.75
"857","R_3neeHwCRBV4Jxwk",2,2,2,2,30,"robin","non-diagnostic","ND1",20,1,4,2,2
"858","R_1mjYW82qN8kNlti",2,1,1,2,0,"robin","non-diagnostic","ND1",19,2,7,5,1.5
"859","R_Q9XCnvvSrWktqtH",3,2,2,2,19,"robin","non-diagnostic","ND1",24,2,7,2,2.25
"860","R_2OPFQ7LykO2p3f2",2,2,2,2,10,"robin","non-diagnostic","ND1",54,2,7,5,2
"861","R_2wMjRfqhBDrLXzo",3,2,3,2,7,"robin","non-diagnostic","ND1",19,2,7,2,2.5
"862","R_vf7Ra4AQDs4wPBL",3,3,1,3,19,"robin","non-diagnostic","ND1",20,2,4,2,2.5
"863","R_2xFPg1uHDctsGIy",2,5,2,4,50,"robin","non-diagnostic","ND1",33,2,2,2,3.25
"864","R_1fiJYHUXTnsNQFe",2,3,3,3,17,"robin","non-diagnostic","ND1",26,2,1,2,2.75
"865","R_2tKExu9SaumO8wu",1,1,1,1,100,"robin","non-diagnostic","ND1",74,1,2,5,1
"866","R_VX7KbzEvIBI5Qtz",3,3,2,3,25,"robin","non-diagnostic","ND1",22,1,7,2,2.75
"867","R_2P1HHKCP2oINBmj",1,1,1,1,0,"robin","non-diagnostic","ND1",19,1,7,2,1
"868","R_5mN80NJUYNykt6F",1,2,1,1,12,"robin","non-diagnostic","ND1",22,2,7,5,1.25
"869","R_2DZcnalmBk1g5zY",2,2,1,2,25,"robin","non-diagnostic","ND1",35,1,7,2,1.75
"870","R_33yk1ddGLkXjNI4",4,2,3,3,21,"robin","non-diagnostic","ND1",20,1,3,2,3
"871","R_ZIdRZ8Cd7AKrNbX",2,2,1,1,4,"robin","non-diagnostic","ND1",26,1,1,5,1.5
"872","R_OwyIq3pe7KdbLKp",4,3,3,3,52,"robin","non-diagnostic","ND1",21,3,7,2,3.25
"873","R_ZKa0g5ovNe3NylH",5,3,3,3,40,"robin","non-diagnostic","ND1",22,2,7,5,3.5
"874","R_3CNpnklSY9KVl4V",1,2,1,1,9,"robin","non-diagnostic","ND1",20,1,7,2,1.25
"875","R_1NlYv2OV6nh9huu",1,1,1,1,0,"robin","non-diagnostic","ND1",21,1,5,2,1
"876","R_1r2OERqjIB02HiF",2,2,2,2,9,"robin","non-diagnostic","ND1",29,2,7,2,2
"877","R_2R1D7uMg8Acnkhs",2,3,1,2,19,"robin","non-diagnostic","ND1",27,1,7,5,2
"878","R_1rJIav55aBvSY9X",1,1,1,1,0,"robin","non-diagnostic","ND1",22,3,7,5,1
"879","R_1rGkRjrUyYNPvPv",1,1,1,1,3,"robin","non-diagnostic","ND1",33,1,7,2,1
"880","R_qRz0jTmq8Kxjh61",2,3,3,3,30,"robin","non-diagnostic","ND1",21,2,7,2,2.75
"881","R_1jDrUNKmdBzaAn4",2,2,2,2,15,"robin","non-diagnostic","ND1",31,2,7,5,2
"882","R_1KkJw9YUkGYFcRu",1,1,1,1,5,"robin","non-diagnostic","ND1",46,1,7,5,1
"883","R_1ZFhZcg8Fs14jqF",2,2,3,2,13,"robin","non-diagnostic","ND1",21,1,5,5,2.25
"884","R_239sAuBJ7IpPlv0",2,3,1,3,14,"robin","non-diagnostic","ND1",20,2,7,5,2.25
