StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consentQ,age,gender,gender_4_TEXT,S_ND1_R_1,S_ND1_R_2,S_ND1_R_3,S_ND1_R_4,S_ND1_M_1,R_ND2_R_1,R_ND2_R_2,R_ND2_R_3,R_ND2_R_4,R_ND2_M_1,F_M_R_1,F_M_R_2,F_M_R_3,F_M_R_4,F_M_M_1,A_M_R_1,A_M_R_2,A_M_R_3,A_M_R_4,A_M_M_1,attn_chk_1Q,attn_chk_2_Q,S_ND2_R_1,S_ND2_R_2,S_ND2_R_3,S_ND2_R_4,S_ND2_M_1,R_M_R_1,R_M_R_2,R_M_R_3,R_M_R_4,R_M_M_1,F_ND1_R_1,F_ND1_R_2,F_ND1_R_3,F_ND1_R_4,F_ND1_M_1,A_ND2_R_1,A_ND2_R_2,A_ND2_R_3,A_ND2_R_4,A_ND2_M_1,S_M_R_1,S_M_R_2,S_M_R_3,S_M_R_4,S_M_M_1,R_ND1_R_1,R_ND1_R_2,R_ND1_R_3,R_ND1_R_4,R_ND1_M_1,F_ND2_R_1,F_ND2_R_2,F_ND2_R_3,F_ND2_R_4,F_ND2_M_1,A_ND1_R_1,A_ND1_R_2,A_ND1_R_3,A_ND1_R_4,A_ND1_M_1
2022-02-01 12:51:41,2022-02-01 12:58:40,0,100,418,1,2022-02-01 12:58:40,R_1imsC09Y3N5YGiv,,,,,anonymous,EN,1,20,2,,2,2,3,3,20,,,,,,3,3,4,4,45,,,,,,7,2,,,,,,1,1,1,2,10,,,,,,1,1,2,1,13,,,,,,,,,,,,,,,,,,,,
2022-02-01 12:54:09,2022-02-01 12:59:10,0,100,301,1,2022-02-01 12:59:10,R_28SPJraZMp2DVJg,,,,,anonymous,EN,1,30,1,,,,,,,,,,,,,,,,,3,3,4,3,45,1,5,3,3,4,3,35,2,3,1,2,25,3,3,4,3,35,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 12:53:18,2022-02-01 13:00:42,0,100,444,1,2022-02-01 13:00:43,R_3019Ujwpf5iRrVr,,,,,anonymous,EN,1,19,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,2,2,2,3,25,,,,,,,,,,,2,2,4,2,23,,,,,,3,3,4,4,35,2,2,3,3,30
2022-02-01 13:00:20,2022-02-01 13:04:05,0,100,225,1,2022-02-01 13:04:06,R_3m4VeYNwZ0fOEqi,,,,,anonymous,EN,1,27,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,3,3,2,3,25,,,,,,,,,,,3,3,5,3,42,,,,,,3,4,4,2,40,3,3,4,4,55
2022-02-01 12:55:47,2022-02-01 13:04:27,0,100,520,1,2022-02-01 13:04:27,R_qPeYD5jUl0gTKBX,,,,,anonymous,EN,1,19,1,,,,,,,,,,,,,,,,,1,1,2,1,15,7,5,2,3,4,2,40,1,1,1,1,5,3,4,4,4,55,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:01:40,2022-02-01 13:06:39,0,100,298,1,2022-02-01 13:06:39,R_3qO1udAahxmuiof,,,,,anonymous,EN,1,41,1,,,,,,,,,,,,,,,,,1,2,4,2,10,7,2,,,,,,,,,,,,,,,,,,,,,3,2,4,4,20,2,2,2,2,10,4,4,4,4,50,,,,,
2022-02-01 13:04:19,2022-02-01 13:06:49,0,100,150,1,2022-02-01 13:06:50,R_pLYvXK09IG2fi9j,,,,,anonymous,EN,1,21,2,,3,2,3,4,37,,,,,,2,3,4,4,41,,,,,,2,2,,,,,,2,4,3,4,28,,,,,,2,3,2,3,51,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:04:27,2022-02-01 13:07:51,0,100,203,1,2022-02-01 13:07:51,R_6sckwKAbLNfrLuV,,,,,anonymous,EN,1,23,1,,,,,,,,,,,,,,,,,1,1,3,1,20,7,2,,,,,,,,,,,,,,,,,,,,,1,1,2,1,20,1,1,1,1,15,2,2,4,2,20,,,,,
2022-02-01 12:57:08,2022-02-01 13:08:13,0,100,665,1,2022-02-01 13:08:14,R_PNAnWXYxijgypTH,,,,,anonymous,EN,1,28,1,,4,4,4,4,49,4,4,4,4,49,5,3,3,3,20,3,3,3,3,30,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:03:24,2022-02-01 13:11:14,0,100,469,1,2022-02-01 13:11:14,R_1jez3gRd0xbjOHS,,,,,anonymous,EN,1,32,1,,,,,,,,,,,,2,2,4,3,44,,,,,,7,2,,,,,,,,,,,,,,,,1,2,4,1,50,3,2,1,1,28,3,3,4,3,38,,,,,,,,,,
2022-02-01 13:08:35,2022-02-01 13:13:44,0,100,309,1,2022-02-01 13:13:45,R_2BsVdTI4SmwRXOY,,,,,anonymous,EN,1,19,1,,,,,,,,,,,,,,,,,3,3,4,2,9,5,2,2,3,3,2,20,3,3,3,3,10,3,3,4,3,22,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:10:02,2022-02-01 13:13:45,0,100,223,1,2022-02-01 13:13:45,R_2v21we7asbpG22W,,,,,anonymous,EN,1,18,1,,,,,,,,,,,,2,2,4,2,17,,,,,,7,5,,,,,,,,,,,,,,,,2,2,4,2,17,2,2,4,2,17,2,2,1,2,17,,,,,,,,,,
2022-02-01 13:12:00,2022-02-01 13:16:07,0,100,246,1,2022-02-01 13:16:07,R_214HG4yurChGCmA,,,,,anonymous,EN,1,34,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,2,2,1,3,9,,,,,,,,,,,3,3,3,2,9,,,,,,3,3,5,4,17,2,2,2,1,7
2022-02-01 13:10:52,2022-02-01 13:17:53,0,100,421,1,2022-02-01 13:17:53,R_2391e9Rq39jpdUt,,,,,anonymous,EN,1,21,1,,2,2,4,1,20,,,,,,4,4,6,4,50,,,,,,7,5,,,,,,1,1,1,1,0,,,,,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:16:39,2022-02-01 13:21:11,0,100,272,1,2022-02-01 13:21:12,R_OvcoAblKUO2Xelr,,,,,anonymous,EN,1,19,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,1,1,1,0,,,,,,,,,,,1,1,1,1,19,,,,,,1,1,1,1,21,1,1,2,2,26
2022-02-01 13:10:55,2022-02-01 13:22:02,0,100,666,1,2022-02-01 13:22:02,R_1mI8jh3bIBTiJbB,,,,,anonymous,EN,1,23,2,,3,2,4,3,24,2,2,1,2,17,3,3,5,4,35,2,2,4,2,23,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:16:24,2022-02-01 13:22:29,0,100,364,1,2022-02-01 13:22:29,R_3Dm0T3cGxLxiRvX,,,,,anonymous,EN,1,21,2,,2,2,2,2,20,2,1,2,2,14,4,3,4,3,34,3,2,3,3,24,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:20:39,2022-02-01 13:25:04,0,100,264,1,2022-02-01 13:25:05,R_2bUcGH1B6lShKVa,,,,,anonymous,EN,1,19,1,,,,,,,,,,,,3,1,4,4,10,,,,,,7,2,,,,,,,,,,,,,,,,2,2,3,3,15,3,2,4,2,25,3,2,2,3,15,,,,,,,,,,
2022-02-01 13:15:57,2022-02-01 13:25:14,0,100,557,1,2022-02-01 13:25:15,R_2b35ikfJv6jfi2u,,,,,anonymous,EN,1,43,2,,,,,,,,,,,,,,,,,2,1,4,3,0,7,5,,,,,,,,,,,,,,,,,,,,,3,2,4,3,0,3,2,1,4,0,3,3,4,3,10,,,,,
2022-02-01 13:23:05,2022-02-01 13:28:19,0,100,314,1,2022-02-01 13:28:20,R_279yAMRU9m2HIjS,,,,,anonymous,EN,1,27,2,,,,,,,,,,,,2,2,2,3,20,,,,,,1,2,,,,,,,,,,,,,,,,1,2,1,2,29,1,1,2,2,15,3,2,3,3,40,,,,,,,,,,
2022-02-01 13:20:56,2022-02-01 13:28:28,0,100,451,1,2022-02-01 13:28:28,R_3q8VdlBEtAujUDQ,,,,,anonymous,EN,1,19,2,,1,1,4,3,0,1,2,1,1,1,1,1,3,3,1,1,1,2,1,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:29:59,2022-02-01 13:32:51,0,100,172,1,2022-02-01 13:32:51,R_2toh6WB5atSoeoi,,,,,anonymous,EN,1,20,2,,,,,,,,,,,,,,,,,2,1,3,2,5,7,2,,,,,,,,,,,,,,,,,,,,,2,1,1,1,5,3,4,3,3,50,3,3,5,2,35,,,,,
2022-02-01 13:27:28,2022-02-01 13:34:14,0,100,406,1,2022-02-01 13:34:14,R_1IN5MLwGIjKW3rm,,,,,anonymous,EN,1,23,2,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,2,2,2,3,17,,,,,,,,,,,1,1,4,1,0,,,,,,3,2,4,4,25,1,1,4,1,0
2022-02-01 13:26:07,2022-02-01 13:35:12,0,100,544,1,2022-02-01 13:35:12,R_271NigiVHgd0I0o,,,,,anonymous,EN,1,22,1,,2,2,3,3,20,,,,,,3,3,4,3,29,,,,,,7,2,,,,,,2,2,2,3,25,,,,,,2,2,3,3,24,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:30:40,2022-02-01 13:36:04,0,100,324,1,2022-02-01 13:36:05,R_2tmO4i9uYDXaz4m,,,,,anonymous,EN,1,18,1,,3,3,3,3,28,,,,,,2,2,2,2,19,,,,,,7,2,,,,,,1,2,2,2,14,,,,,,3,3,3,3,20,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:30:17,2022-02-01 13:36:39,0,100,381,1,2022-02-01 13:36:39,R_AvAjpRQCGAR81dT,,,,,anonymous,EN,1,20,2,,,,,,,,,,,,2,3,3,3,26,,,,,,7,2,,,,,,,,,,,,,,,,2,1,2,1,13,2,2,4,2,19,2,2,1,2,20,,,,,,,,,,
2022-02-01 12:56:47,2022-02-01 13:37:32,0,100,2444,1,2022-02-01 13:37:33,R_2cpYzJib9guycCu,,,,,anonymous,EN,1,20,2,,4,3,2,3,38,3,4,2,3,40,3,2,5,3,25,2,3,5,2,30,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:32:55,2022-02-01 13:39:06,0,100,370,1,2022-02-01 13:39:06,R_2QsaHF5ak9E8Alz,,,,,anonymous,EN,1,31,1,,4,4,3,3,31,3,4,3,4,39,2,2,3,2,4,2,1,4,2,15,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:39:05,2022-02-01 13:43:38,0,100,273,1,2022-02-01 13:43:38,R_3lPJZnZBN649XeR,,,,,anonymous,EN,1,49,1,,,,,,,,,,,,,,,,,2,3,4,4,70,7,2,3,3,2,3,60,2,3,2,3,80,3,3,4,3,60,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:37:49,2022-02-01 13:43:54,0,100,365,1,2022-02-01 13:43:54,R_3rDzzqYOW5xDm5H,,,,,anonymous,EN,1,21,1,,,,,,,,,,,,,,,,,2,3,4,2,10,7,2,1,1,4,1,0,1,1,2,2,6,3,4,4,4,50,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:39:04,2022-02-01 13:45:35,0,100,390,1,2022-02-01 13:45:37,R_1291xHDTgsDZsUe,,,,,anonymous,EN,1,47,2,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,1,7,1,1,4,,,,,,,,,,,1,1,4,4,24,,,,,,5,5,5,5,51,4,4,4,4,39
2022-02-01 13:57:40,2022-02-01 14:03:05,0,100,324,1,2022-02-01 14:03:05,R_1irFPYYuSuo8JEx,,,,,anonymous,EN,1,42,1,,,,,,,,,,,,,,,,,2,2,3,2,9,7,5,,,,,,,,,,,,,,,,,,,,,2,2,3,2,25,2,2,3,2,19,2,2,4,2,13,,,,,
2022-02-01 14:01:03,2022-02-01 14:04:49,0,100,226,1,2022-02-01 14:04:50,R_2b3qHxjBNyOGF2u,,,,,anonymous,EN,1,19,2,,3,2,4,2,19,,,,,,1,1,2,2,10,,,,,,7,2,,,,,,3,2,4,2,20,,,,,,2,2,3,2,20,,,,,,,,,,,,,,,,,,,,
2022-02-01 13:56:04,2022-02-01 14:05:12,0,100,547,1,2022-02-01 14:05:12,R_C95fLG8Jocqvrm9,,,,,anonymous,EN,1,21,2,,,,,,,,,,,,,,,,,1,1,3,2,16,7,2,,,,,,,,,,,,,,,,,,,,,1,2,4,3,30,3,3,2,3,25,4,3,3,4,34,,,,,
2022-02-01 13:59:21,2022-02-01 14:09:31,0,100,609,1,2022-02-01 14:09:31,R_8dEZklfxhYw8EbD,,,,,anonymous,EN,1,20,3,,2,1,3,1,15,3,2,1,3,32,4,3,5,3,36,2,2,2,2,6,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:04:26,2022-02-01 14:09:39,0,100,313,1,2022-02-01 14:09:39,R_TcoSfCEF3a72FTr,,,,,anonymous,EN,1,20,2,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,1,1,1,1,5,,,,,,,,,,,1,1,2,1,6,,,,,,2,3,5,2,11,2,1,3,2,10
2022-02-01 14:05:21,2022-02-01 14:10:14,0,100,293,1,2022-02-01 14:10:15,R_6u3E1A5sdKM5lAd,,,,,anonymous,EN,1,21,2,,,,,,,,,,,,,,,,,3,2,3,2,19,7,5,4,3,3,3,37,3,3,1,3,8,3,3,4,3,21,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:16:01,2022-02-01 14:20:32,0,100,270,1,2022-02-01 14:20:32,R_3QMHyRDPdwyptrJ,,,,,anonymous,EN,1,39,1,,1,1,3,3,24,,,,,,3,4,4,4,45,,,,,,7,2,,,,,,1,1,2,2,9,,,,,,2,1,4,2,34,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:14:06,2022-02-01 14:20:33,0,100,386,1,2022-02-01 14:20:34,R_u7EibYliOpURx2V,,,,,anonymous,EN,1,41,2,,,,,,,,,,,,,,,,,1,1,1,1,1,7,2,,,,,,,,,,,,,,,,,,,,,2,2,3,3,9,1,1,1,1,0,1,1,3,2,6,,,,,
2022-02-01 14:15:32,2022-02-01 14:24:58,0,100,565,1,2022-02-01 14:25:00,R_12RneVmEOrMLQEA,,,,,anonymous,EN,1,25,2,,,,,,,,,,,,2,2,1,1,12,,,,,,7,5,,,,,,,,,,,,,,,,2,1,1,1,7,2,2,2,2,13,3,3,2,3,25,,,,,,,,,,
2022-02-01 11:51:36,2022-02-01 14:25:49,0,100,9253,1,2022-02-01 14:25:50,R_1E1efsDxXALXFYu,,,,,anonymous,EN,1,35,2,,,,,,,,,,,,,,,,,2,3,5,3,70,7,2,1,1,3,3,80,1,1,1,1,100,2,2,4,1,75,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:23:25,2022-02-01 14:30:41,0,100,436,1,2022-02-01 14:30:42,R_1IGbjOC833M2jw0,,,,,anonymous,EN,1,42,2,,,,,,,,,,,,3,3,5,4,100,,,,,,1,5,,,,,,,,,,,,,,,,4,3,4,4,44,2,2,3,3,34,2,2,2,2,23,,,,,,,,,,
2022-02-01 14:28:11,2022-02-01 14:32:32,0,100,260,1,2022-02-01 14:32:32,R_2YL2vNvk9MnO2rT,,,,,anonymous,EN,1,23,1,,,,,,,,,,,,2,1,2,5,20,,,,,,7,2,,,,,,,,,,,,,,,,1,1,5,1,0,1,1,1,3,0,1,2,1,2,15,,,,,,,,,,
2022-02-01 14:28:59,2022-02-01 14:33:11,0,100,252,1,2022-02-01 14:33:12,R_RE44VweJ2sLxSWB,,,,,anonymous,EN,1,43,1,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,2,2,1,2,19,,,,,,,,,,,2,2,2,2,9,,,,,,3,3,4,4,40,2,2,2,3,20
2022-02-01 14:28:16,2022-02-01 14:35:16,0,100,420,1,2022-02-01 14:35:17,R_07mZyew97CuSiD7,,,,,anonymous,EN,1,41,2,,,,,,,,,,,,,,,,,4,4,3,3,50,7,2,,,,,,,,,,,,,,,,,,,,,3,3,3,3,34,3,3,2,3,34,3,4,4,3,50,,,,,
2022-02-01 14:36:23,2022-02-01 14:42:15,0,100,351,1,2022-02-01 14:42:15,R_1puuHhAwaMUUIzr,,,,,anonymous,EN,1,50,1,,4,4,4,3,50,4,4,3,3,50,4,4,4,3,50,4,4,2,2,50,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:39:55,2022-02-01 14:44:05,0,100,250,1,2022-02-01 14:44:05,R_3fduXED54L7LKRK,,,,,anonymous,EN,1,22,1,,,,,,,,,,,,,,,,,1,1,1,1,0,7,5,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,0,3,3,4,3,35,,,,,
2022-02-01 14:41:55,2022-02-01 14:44:56,0,100,180,1,2022-02-01 14:44:56,R_p4s55QVRTtG5qox,,,,,anonymous,EN,1,18,3,,3,1,3,2,11,,,,,,2,2,3,2,15,,,,,,7,5,,,,,,3,1,1,1,0,,,,,,2,1,3,1,5,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:38:18,2022-02-01 14:45:45,0,100,447,1,2022-02-01 14:45:46,R_eVBaWr8wpGNr3d7,,,,,anonymous,EN,1,18,2,,,,,,,,,,,,,,,,,1,1,3,3,20,7,2,3,2,4,2,50,2,2,3,3,35,1,1,2,2,20,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:42:39,2022-02-01 14:47:22,0,100,283,1,2022-02-01 14:47:22,R_28NXkWS7V0fIxRS,,,,,anonymous,EN,1,34,1,,,,,,,,,,,,,,,,,2,2,3,2,17,7,2,2,2,4,2,76,2,2,2,2,89,4,4,4,3,33,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:45:07,2022-02-01 14:49:44,0,100,277,1,2022-02-01 14:49:44,R_3KpzhferKhWUs0s,,,,,anonymous,EN,1,19,1,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,1,1,1,1,0,,,,,,,,,,,1,1,3,2,0,,,,,,2,1,1,1,5,2,1,1,1,5
2022-02-01 14:48:14,2022-02-01 14:51:07,0,100,173,1,2022-02-01 14:51:09,R_dmadc8jVgcs5czL,,,,,anonymous,EN,1,18,2,,,,,,,,,,,,,,,,,1,1,1,1,0,1,2,,,,,,,,,,,,,,,,,,,,,1,1,1,1,17,2,3,4,3,21,3,4,5,3,23,,,,,
2022-02-01 14:48:49,2022-02-01 14:53:53,0,100,304,1,2022-02-01 14:53:53,R_9FfLgf0BmkGXFHr,,,,,anonymous,EN,1,41,2,,,,,,,,,,,,3,4,5,4,30,,,,,,1,2,,,,,,,,,,,,,,,,1,2,4,2,24,1,1,4,1,20,2,3,1,3,16,,,,,,,,,,
2022-02-01 14:50:36,2022-02-01 14:55:11,0,100,275,1,2022-02-01 14:55:11,R_3HtXCuIXwFS2G1O,,,,,anonymous,EN,1,21,1,,,,,,,,,,,,,,,,,1,1,4,2,23,7,2,1,1,1,2,14,1,1,1,3,14,2,2,4,3,28,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:51:28,2022-02-01 14:55:36,0,100,247,1,2022-02-01 14:55:36,R_2qwquA2svaeENKq,,,,,anonymous,EN,1,31,2,,,,,,,,,,,,4,1,4,2,15,,,,,,7,5,,,,,,,,,,,,,,,,4,2,3,2,10,4,4,2,2,30,4,4,1,2,30,,,,,,,,,,
2022-02-01 14:52:59,2022-02-01 15:00:24,0,100,445,1,2022-02-01 15:00:24,R_2wtdIpwo78WpFuT,,,,,anonymous,EN,1,40,1,,1,1,1,1,10,1,1,1,1,10,2,2,2,2,20,1,1,1,1,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:55:43,2022-02-01 15:01:49,0,100,365,1,2022-02-01 15:01:49,R_1lAhvyIxrYEOnUz,,,,,anonymous,EN,1,18,2,,,,,,,,,,,,,,,,,4,4,4,4,49,7,5,,,,,,,,,,,,,,,,,,,,,3,3,6,6,50,3,3,1,3,38,4,3,6,5,41,,,,,
2022-02-01 14:57:03,2022-02-01 15:01:52,0,100,289,1,2022-02-01 15:01:53,R_3MKaXB9hIDnuzne,,,,,anonymous,EN,1,21,2,,1,1,4,3,16,2,1,1,2,10,2,1,4,3,18,2,1,2,2,13,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 14:55:47,2022-02-01 15:02:17,0,100,390,1,2022-02-01 15:02:18,R_R99Rcqpr98DHL7H,,,,,anonymous,EN,1,18,2,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,2,1,1,2,7,,,,,,,,,,,3,3,4,4,15,,,,,,3,3,4,4,17,1,2,3,1,8
2022-02-01 14:57:40,2022-02-01 15:03:59,0,100,379,1,2022-02-01 15:03:59,R_3PdeyHTiHak3Fmv,,,,,anonymous,EN,1,21,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,2,3,1,2,40,,,,,,,,,,,2,3,2,3,30,,,,,,3,3,4,4,41,2,3,3,2,32
2022-02-01 15:05:49,2022-02-01 15:10:53,0,100,303,1,2022-02-01 15:10:53,R_1cTxd4sYuNc7Edh,,,,,anonymous,EN,1,19,1,,1,1,1,1,2,,,,,,3,3,6,2,30,,,,,,2,5,,,,,,1,2,1,1,4,,,,,,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,
2022-02-01 15:10:56,2022-02-01 15:15:00,0,100,244,1,2022-02-01 15:15:01,R_2YbUNMcpwA6naYB,,,,,anonymous,EN,1,52,1,,2,2,4,3,25,,,,,,4,4,4,3,40,,,,,,7,2,,,,,,1,1,1,4,8,,,,,,1,4,4,2,19,,,,,,,,,,,,,,,,,,,,
2022-02-01 15:11:02,2022-02-01 15:16:04,0,100,301,1,2022-02-01 15:16:05,R_2CmkyY8ti8ZwpuT,,,,,anonymous,EN,1,22,1,,2,3,3,2,30,2,2,2,3,20,4,4,4,4,50,3,2,4,3,30,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 15:15:10,2022-02-01 15:18:40,0,100,210,1,2022-02-01 15:18:42,R_2aafWeAnrVqFDAt,,,,,anonymous,EN,1,18,1,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,2,3,1,2,20,,,,,,,,,,,2,1,3,3,23,,,,,,3,3,4,3,30,1,1,1,1,20
2022-02-01 15:20:26,2022-02-01 15:24:22,0,100,235,1,2022-02-01 15:24:22,R_1dpnYHDoX8vDpq3,,,,,anonymous,EN,1,46,1,,,,,,,,,,,,4,4,5,4,50,,,,,,6,2,,,,,,,,,,,,,,,,4,5,4,2,50,2,1,4,1,20,1,4,2,4,19,,,,,,,,,,
2022-02-01 15:14:32,2022-02-01 15:25:15,0,100,642,1,2022-02-01 15:25:15,R_2SGOSVR6Bhqxwpu,,,,,anonymous,EN,1,20,1,,3,2,2,1,20,4,2,1,3,25,3,2,4,2,25,1,2,1,1,10,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 15:24:37,2022-02-01 15:28:19,0,100,222,1,2022-02-01 15:28:20,R_1OTAIzBEMG88UxQ,,,,,anonymous,EN,1,35,2,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,3,3,3,3,28,,,,,,,,,,,3,3,3,4,23,,,,,,3,2,4,4,20,3,3,4,4,19
2022-02-01 15:19:41,2022-02-01 15:28:21,0,100,520,1,2022-02-01 15:28:21,R_ZpIrH22AD4FlC6Z,,,,,anonymous,EN,1,23,2,,,,,,,,,,,,,,,,,1,2,3,2,20,7,5,1,2,3,2,20,1,2,2,2,20,1,3,4,3,30,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 15:24:12,2022-02-01 15:31:11,0,100,419,1,2022-02-01 15:31:12,R_sToIzj9rrUAntdf,,,,,anonymous,EN,1,29,1,,4,4,5,4,60,,,,,,4,4,4,4,50,,,,,,7,5,,,,,,4,4,3,3,45,,,,,,4,4,5,4,50,,,,,,,,,,,,,,,,,,,,
2022-02-01 15:28:58,2022-02-01 15:36:16,0,100,437,1,2022-02-01 15:36:16,R_2f3Qen9MgN5mWVu,,,,,anonymous,EN,1,18,2,,3,3,3,3,38,3,4,4,4,40,4,4,4,4,50,3,3,4,3,40,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 15:33:37,2022-02-01 15:38:00,0,100,262,1,2022-02-01 15:38:00,R_5ANixhYZ96VuWEV,,,,,anonymous,EN,1,19,2,,,,,,,,,,,,3,2,4,4,25,,,,,,7,2,,,,,,,,,,,,,,,,2,2,3,3,15,1,2,2,2,14,1,1,1,2,12,,,,,,,,,,
2022-02-01 15:37:17,2022-02-01 15:40:28,0,100,190,1,2022-02-01 15:40:28,R_1o5ffhB13jYIh4X,,,,,anonymous,EN,1,43,2,,,,,,,,,,,,,,,,,1,2,4,2,24,7,2,,,,,,,,,,,,,,,,,,,,,2,1,3,1,19,4,2,3,3,25,3,2,4,2,24,,,,,
2022-02-01 15:35:57,2022-02-01 15:41:38,0,100,340,1,2022-02-01 15:41:38,R_1Q3dqDoccDut3n9,,,,,anonymous,EN,1,32,2,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,3,3,2,2,26,,,,,,,,,,,3,4,4,2,35,,,,,,3,5,5,4,38,4,4,4,3,35
2022-02-01 15:38:07,2022-02-01 15:47:34,0,100,567,1,2022-02-01 15:47:34,R_wWWPyDSOY4xpplL,,,,,anonymous,EN,1,26,2,,4,2,3,3,30,,,,,,4,3,3,4,35,,,,,,7,5,,,,,,3,3,3,3,24,,,,,,3,3,4,3,24,,,,,,,,,,,,,,,,,,,,
2022-02-01 15:45:32,2022-02-01 15:51:38,0,100,365,1,2022-02-01 15:51:38,R_RqW9FQtLAJ3Gbex,,,,,anonymous,EN,1,22,2,,4,4,3,3,50,3,2,2,3,19,5,3,5,2,31,4,3,5,6,38,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 15:40:42,2022-02-01 15:52:03,0,100,680,1,2022-02-01 15:52:03,R_2EntBk3zFYpjiLU,,,,,anonymous,EN,1,18,2,,,,,,,,,,,,,,,,,4,4,4,3,60,7,5,,,,,,,,,,,,,,,,,,,,,5,5,4,4,50,3,4,3,3,45,5,5,4,3,57,,,,,
2022-02-01 15:46:24,2022-02-01 15:52:38,0,100,373,1,2022-02-01 15:52:38,R_3R7o4bzJBQG5d6l,,,,,anonymous,EN,1,21,2,,2,2,3,3,21,,,,,,2,3,3,2,22,,,,,,7,2,,,,,,2,2,1,2,17,,,,,,2,1,2,1,10,,,,,,,,,,,,,,,,,,,,
2022-02-01 15:48:17,2022-02-01 15:56:07,0,100,470,1,2022-02-01 15:56:07,R_9vEEECkpX4cDYKl,,,,,anonymous,EN,1,43,2,,,,,,,,,,,,4,2,5,4,70,,,,,,7,2,,,,,,,,,,,,,,,,3,5,3,4,44,2,2,2,2,19,2,4,6,3,34,,,,,,,,,,
2022-02-01 15:45:51,2022-02-01 15:57:19,0,100,688,1,2022-02-01 15:57:20,R_1HBxwP3lytnPo7D,,,,,anonymous,EN,1,18,2,,,,,,,,,,,,,,,,,2,1,4,2,26,7,5,2,4,4,2,32,1,1,1,2,0,1,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
